p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ADGRF5	1.42921898848726e-237	0.694459206889222	0.568	0.091	2.75582005360114e-233	0	ADGRF5
PLA2G10	7.89610854946684e-237	0.424749311511188	0.384	0.014	1.5225276505082e-232	0	PLA2G10
C3	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	C3
HSD17B6	2.92469774736476e-234	0.531838374445754	0.435	0.032	5.63940219646873e-230	0	HSD17B6
GSTA4	2.06321291737255e-233	0.525407484115463	0.466	0.047	3.97828714727775e-229	0	GSTA4
RNASE1	2.31808339628032e-233	0.908842671642378	0.734	0.204	4.46972840470771e-229	0	RNASE1
SUSD2	7.73513544303219e-231	0.587215947127038	0.478	0.051	1.49148881612547e-226	0	SUSD2
PDZK1IP1	4.27939868917931e-229	0.388395947513559	0.361	0.01	8.25153655247554e-225	0	PDZK1IP1
BEX3	3.88750266271466e-227	0.655922181464106	0.588	0.117	7.4958826342464e-223	0	BEX3
KCNK1	8.37530532231269e-225	0.395724630476553	0.379	0.017	1.61492637224833e-220	0	KCNK1
ACSL5	1.26837480624094e-221	0.496045181234667	0.493	0.064	2.44568030139379e-217	0	ACSL5
GGTLC1	5.56721154277592e-221	0.428221537221937	0.366	0.015	1.07346972967805e-216	0	GGTLC1
AL162511.1	7.40101312437651e-221	0.498258936113308	0.368	0.016	1.42706335064228e-216	0	AL162511.1
MFSD4A	8.2016710657269e-221	0.368737194934212	0.349	0.01	1.58144621489346e-216	0	MFSD4A
AGR2	1.84075568186199e-216	0.570160166391214	0.467	0.051	3.54934510576629e-212	0	AGR2
TMEM125	5.36835376475148e-216	0.423443133966932	0.44	0.043	1.03512597291938e-211	0	TMEM125
HSPB1	1.74434173172943e-213	0.846712330164973	0.883	0.539	3.36343972712069e-209	0	HSPB1
GSTP1	1.39527598457118e-211	0.799990045420273	0.884	0.603	2.69037115345015e-207	0	GSTP1
PLPP2	1.58133064681342e-211	0.438368961664433	0.42	0.036	3.04912175318563e-207	0	PLPP2
TSPAN13	4.87636566095472e-210	0.490326396244802	0.528	0.085	9.40260826745289e-206	0	TSPAN13
C1orf116	1.07910911104494e-209	0.424980751727148	0.389	0.027	2.08073818791685e-205	0	C1orf116
ERBB2	4.22254660620689e-209	0.376972879410186	0.391	0.028	8.14191436608812e-205	0	ERBB2
STEAP4	1.06647178947528e-208	0.622765901613517	0.453	0.054	2.05637090446624e-204	0	STEAP4
ABCC3	2.29258081684527e-207	0.467123783402001	0.425	0.044	4.42055433104105e-203	0	ABCC3
FXYD3	6.50896532693934e-205	0.452371030224437	0.465	0.055	1.25505869434044e-200	0	FXYD3
SLC39A8	1.58513282517294e-202	0.4925019198637	0.464	0.062	3.05645311349846e-198	0	SLC39A8
EPS8	3.1960295056697e-201	0.463675057780556	0.519	0.088	6.16258409283232e-197	0	EPS8
PPP1R1B	1.30502612377047e-200	0.389151556317705	0.339	0.015	2.51635137185422e-196	0	PPP1R1B
IFT57	2.74730869911009e-196	0.533776011693332	0.57	0.12	5.29736063362408e-192	0	IFT57
SELENOW	1.08344775355776e-195	0.698541772854956	0.749	0.31	2.08910395841007e-191	0	SELENOW
MGLL	1.70352588705641e-194	0.509249249135907	0.519	0.096	3.28473861542216e-190	0	MGLL
IRX2	8.07050721198873e-193	0.355154933668495	0.352	0.022	1.55615520061567e-188	0	IRX2
THBS4	3.84274188217648e-191	0.346849614872814	0.291	0.004	7.40957489721269e-187	0	THBS4
PON3	6.75049465613942e-185	0.3755990281588	0.324	0.017	1.3016303795968e-180	0	PON3
SFTA1P	4.50495454680321e-182	0.379134380750705	0.373	0.034	8.68645335714594e-178	0	SFTA1P
KLK11	2.02057241459902e-181	0.352912124795938	0.307	0.012	3.89606772982983e-177	0	KLK11
BCAT1	3.29099244359252e-180	0.5557692647708	0.436	0.066	6.3456916297351e-176	0	BCAT1
ATP1A1	3.87754629053266e-180	0.629521772937943	0.79	0.349	7.47668475740507e-176	0	ATP1A1
FAM3B	2.65652963870352e-177	0.344912653701726	0.324	0.02	5.12232044934812e-173	0	FAM3B
SPINT1	4.12192639300847e-177	0.384083587704802	0.379	0.041	7.94789847099893e-173	0	SPINT1
GPRC5C	7.22343346407834e-177	0.343876731975692	0.339	0.025	1.39282244054359e-172	0	GPRC5C
TCEA3	8.36378239052464e-177	0.364439932207014	0.35	0.03	1.61270452054096e-172	0	TCEA3
CLIC6	7.94420971675611e-176	0.383760538113881	0.373	0.038	1.53180251758491e-171	0	CLIC6
ZDHHC9	1.64150345616363e-175	0.342206282192719	0.369	0.037	3.1651469641747e-171	0	ZDHHC9
TST	2.76101432343065e-175	0.338334668666697	0.332	0.023	5.32378781843898e-171	0	TST
PERP	4.32957505051662e-175	0.429296558669254	0.499	0.092	8.34828661240614e-171	0	PERP
GPR160	6.89330373628713e-175	0.373597587201885	0.348	0.03	1.32916682643089e-170	0	GPR160
CRYM	8.99280152751678e-174	0.375137636725904	0.332	0.024	1.73399199053579e-169	0	CRYM
PTPRF	2.4963922024733e-173	0.343288503617946	0.369	0.037	4.81354344480902e-169	0	PTPRF
LSR	3.6905726598377e-173	0.386925394345828	0.421	0.06	7.11616220269906e-169	0	LSR
GADD45G	1.61881250708221e-171	0.526720605724349	0.441	0.071	3.12139427615592e-167	0	GADD45G
ATP11A	7.39564391647224e-171	0.544496408284557	0.472	0.089	1.42602805997418e-166	0	ATP11A
FGGY	1.05321776853337e-170	0.405090955204633	0.392	0.048	2.03081450128604e-166	0	FGGY
SFN	1.95017887031373e-169	0.347652415102959	0.332	0.026	3.76033489773894e-165	0	SFN
BEX2	7.57629009471149e-169	0.351129073088042	0.369	0.04	1.46086025606227e-164	0	BEX2
MPST	1.15428584319508e-168	0.387168047736633	0.416	0.062	2.22569396284876e-164	0	MPST
LRG1	2.19007104603365e-168	0.369263209709714	0.321	0.023	4.22289499096208e-164	0	LRG1
TMEM98	2.96679763078677e-168	0.413197769748192	0.426	0.066	5.72057919168304e-164	0	TMEM98
CKB	3.84780327118809e-168	0.445467314100458	0.456	0.078	7.41933426750487e-164	0	CKB
SLC22A31	7.52496016065044e-165	0.32743366875821	0.336	0.029	1.45096281817662e-160	0	SLC22A31
OCLN	8.18721471173398e-165	0.326055822575457	0.354	0.037	1.57865874071655e-160	0	OCLN
AC010329.1	6.43280572872403e-163	0.26868363878166	0.263	0.007	1.24037360061257e-158	0	AC010329.1
ADGRF1	1.38927235183732e-162	0.333089269524825	0.256	0.005	2.67879494881273e-158	0	ADGRF1
CREB3L1	7.84863896806256e-162	0.32596640395639	0.315	0.024	1.51337456582182e-157	0	CREB3L1
MVP	7.10367393880881e-161	0.468859542286936	0.571	0.152	1.36973040888112e-156	0	MVP
AQP4	3.80517062149153e-160	0.423352132604357	0.346	0.036	7.33712999235997e-156	0	AQP4
TMPRSS2	1.08846004937274e-158	0.333955410965147	0.336	0.033	2.09876866720052e-154	0	TMPRSS2
ANXA4	4.33034434212302e-158	0.514515345054549	0.563	0.156	8.34976996048161e-154	0	ANXA4
SEPHS2	1.10183799462651e-157	0.429758424393732	0.45	0.088	2.12456402123883e-153	0	SEPHS2
ITPR3	2.12836129463261e-157	0.364500135090751	0.394	0.058	4.1039062483106e-153	0	ITPR3
SLC22A3	7.50962012469573e-157	0.303220266217342	0.312	0.025	1.44800495244383e-152	0	SLC22A3
BCAM	1.45583539619494e-156	0.345410289939913	0.537	0.113	2.80714181094308e-152	0	BCAM
AQP5	1.64783223912744e-156	0.417020966198254	0.283	0.016	3.17735012348553e-152	0	AQP5
PTP4A1	1.6899592249978e-156	0.536587267016362	0.57	0.162	3.25857937764075e-152	0	PTP4A1
SCNN1A	8.07472558021229e-156	0.311076638425164	0.331	0.032	1.55696858637653e-151	0	SCNN1A
NEDD4L	1.04604197224782e-155	0.354979740956064	0.367	0.046	2.01697813088824e-151	0	NEDD4L
PCBD1	1.22557459724981e-155	0.392994379734761	0.446	0.086	2.36315293841709e-151	0	PCBD1
ITGB6	8.20769535798639e-154	0.332595400262284	0.327	0.032	1.58260781892694e-149	0	ITGB6
CETN2	2.10394607768864e-153	0.310732618434002	0.439	0.08	4.05682882699924e-149	0	CETN2
ADGRV1	6.8471947084251e-152	0.279639762809434	0.276	0.015	1.32027608367853e-147	0	ADGRV1
MAGI3	8.48246160061251e-152	0.34437227732803	0.324	0.032	1.6355882458301e-147	0	MAGI3
SIX1	1.92108544494456e-151	0.281306152130221	0.268	0.013	3.70423695494211e-147	0	SIX1
CTSE	9.08997743914927e-151	0.523720775055017	0.317	0.031	1.75272944981676e-146	0	CTSE
SEZ6L2	1.42773056585914e-150	0.286650659735769	0.283	0.018	2.75295007708959e-146	0	SEZ6L2
SLC44A4	1.53085632783518e-150	0.274572668184672	0.326	0.031	2.95179717133179e-146	0	SLC44A4
MAP3K13	4.13295688289566e-148	0.358038515462389	0.407	0.072	7.96916746159942e-144	0	MAP3K13
RAMP1	2.0707296313729e-147	0.349165771090644	0.333	0.038	3.99278087521323e-143	0	RAMP1
EHF	2.29385930192307e-147	0.286972900773324	0.297	0.024	4.42301950596806e-143	0	EHF
CAPN2	8.01589220662129e-147	0.442724573153642	0.577	0.172	1.54562433528072e-142	0	CAPN2
TOM1L1	5.33158078054929e-146	0.259731574732733	0.269	0.016	1.02803540610551e-141	0	TOM1L1
LLGL2	1.67802202244026e-145	0.316120976313187	0.361	0.051	3.23556206366932e-141	0	LLGL2
TMC4	4.23152591733064e-145	0.275893995253364	0.311	0.03	8.15922827379694e-141	0	TMC4
HOXD1	5.7272915473914e-144	0.326594937365384	0.254	0.012	1.10433635616801e-139	0	HOXD1
PON2	1.27903210123333e-143	0.428291202173932	0.482	0.116	2.4662296975981e-139	0	PON2
AGPAT2	1.34071708852391e-143	0.503850267712039	0.484	0.126	2.5851706900918e-139	0	AGPAT2
CGN	3.50299812791631e-143	0.25696019441852	0.264	0.015	6.75448099024823e-139	0	CGN
LCN2	4.14778839884922e-142	0.396536031781569	0.285	0.022	7.99776559066106e-138	0	LCN2
SLC25A37	6.24873207539005e-142	0.433017682680872	0.459	0.104	1.20488051877671e-137	0	SLC25A37
CD74	1.47997317078706e-141	0.771796531712223	0.995	0.901	2.85368426791161e-137	0	CD74
ASPH	3.84129112145518e-141	0.422155375627909	0.512	0.137	7.40677754038987e-137	0	ASPH
KLF5	8.55408427204957e-141	0.306958762465555	0.304	0.031	1.6493985293366e-136	0	KLF5
NINJ2	1.36121215622924e-140	0.300975745721318	0.294	0.027	2.62468927964122e-136	0	NINJ2
HMGN3	4.8125389052959e-140	0.457730794320601	0.599	0.198	9.27953751719156e-136	0	HMGN3
HSPA6	9.11662824089319e-140	0.686222847731583	0.351	0.051	1.75786825740902e-135	0	HSPA6
RHOBTB2	6.44688274776406e-139	0.321530790364416	0.333	0.043	1.24308793142387e-134	0	RHOBTB2
CDH1	1.51864200861155e-138	0.284669346221872	0.283	0.024	2.92824552100479e-134	0	CDH1
NQO1	5.21446884182119e-138	0.313149033155266	0.35	0.049	1.00545388207996e-133	0	NQO1
PTK7	9.58112294237125e-138	0.331097813976986	0.325	0.041	1.84743212574802e-133	0	PTK7
SYNGR2	2.30948277782141e-137	0.484659946967129	0.588	0.204	4.45314469219524e-133	0	SYNGR2
BNIP3	5.94417150519077e-137	0.349943826182034	0.397	0.074	1.14615514963088e-132	0	BNIP3
TCEAL9	7.88743260033449e-137	0.401243641850154	0.491	0.127	1.5208547539965e-132	0	TCEAL9
LY6E	1.5987647180108e-136	0.664836460809989	0.667	0.299	3.08273812926842e-132	0	LY6E
SEC11C	6.14200152029364e-136	0.477366891064727	0.475	0.123	1.18430073314302e-131	0	SEC11C
ACADVL	6.49100035569725e-136	0.453224914806094	0.569	0.181	1.25159468858554e-131	0	ACADVL
KIF22	8.76831892653932e-136	0.359204924326407	0.384	0.07	1.69070725541531e-131	0	KIF22
TSPAN3	2.65606604730311e-135	0.435113772451483	0.566	0.181	5.12142655240986e-131	0	TSPAN3
MRPL14	6.4567434011381e-135	0.371263286590978	0.416	0.087	1.24498926260745e-130	0	MRPL14
RASSF7	9.51403773801219e-135	0.300475311885242	0.347	0.051	1.83449675664351e-130	0	RASSF7
PRKCI	1.33788766026236e-134	0.305224198678396	0.368	0.06	2.57971498651789e-130	0	PRKCI
TCEAL8	1.06034533455374e-133	0.410000046272659	0.462	0.118	2.04455787408653e-129	0	TCEAL8
OCIAD2	5.30999977622301e-133	0.388663311045588	0.407	0.083	1.02387415685132e-128	0	OCIAD2
TMEM159	8.19636477128045e-132	0.268298887849794	0.312	0.039	1.5804230551983e-127	0	TMEM159
F11R	1.55769769000692e-130	0.323658395635564	0.392	0.076	3.00355268587134e-126	0	F11R
ARFGEF3	2.11001570183049e-130	0.27777529434054	0.282	0.028	4.06853227626954e-126	0	ARFGEF3
CTSH	6.79577639961392e-129	0.59770697783839	0.808	0.514	1.31036160537356e-124	0	CTSH
CLPTM1L	8.41718903462861e-129	0.361811432894926	0.433	0.1	1.62300238965709e-124	0	CLPTM1L
TMEM63B	5.38576594474114e-128	0.287600033232394	0.304	0.037	1.03848338946499e-123	0	TMEM63B
TMEM9	1.53773787624232e-127	0.318342179873875	0.37	0.069	2.96506617297045e-123	0	TMEM9
TUBB2A	5.61131347424751e-127	0.386541993852	0.324	0.049	1.08197346410441e-122	0	TUBB2A
C19orf33	7.65799919735028e-127	0.254408834180802	0.257	0.021	1.47661540523308e-122	0	C19orf33
SNHG9	6.03408386299057e-126	0.406562848416213	0.473	0.128	1.16349205046184e-121	0	SNHG9
COA3	7.47248950408497e-126	0.354205463663346	0.363	0.068	1.44084542617766e-121	0	COA3
SMPDL3A	1.12161870899492e-125	0.280428574956318	0.283	0.031	2.162705194684e-121	0	SMPDL3A
ASS1	1.01349061706853e-124	0.262008055942175	0.287	0.033	1.95421260783154e-120	0	ASS1
JUP	1.72701480766508e-124	0.29369403671405	0.317	0.046	3.33002995213981e-120	0	JUP
TFCP2L1	3.74484914766811e-124	0.280125569719122	0.291	0.035	7.22081812653364e-120	0	TFCP2L1
CYP4B1	7.05355025676015e-124	0.339827935935462	0.377	0.07	1.36006556050849e-119	0	CYP4B1
PARM1	7.8749900001666e-124	0.268881189223794	0.286	0.033	1.51845557183212e-119	0	PARM1
MORF4L2	2.09862747030539e-123	0.4301277548052	0.549	0.182	4.04657348824284e-119	0	MORF4L2
GOLPH3L	2.14761531479758e-123	0.269371403331992	0.308	0.042	4.1410318499927e-119	0	GOLPH3L
LAMB3	5.26869727652206e-123	0.273332687960079	0.252	0.021	1.01591020885898e-118	0	LAMB3
CD47	1.19601814859545e-122	0.430357245379459	0.577	0.205	2.30616219412175e-118	0	CD47
HOOK2	2.18865861015968e-122	0.277892280994198	0.308	0.043	4.22017153210989e-118	0	HOOK2
SNX30	3.73965037794562e-122	0.269059381947406	0.289	0.035	7.21079385875474e-118	0	SNX30
TSPAN6	8.71753676776833e-121	0.258517053682782	0.299	0.039	1.68091543956109e-116	0	TSPAN6
STARD10	1.44762384736254e-120	0.298922066763852	0.372	0.074	2.79130830248446e-116	0	STARD10
JTB	3.29564648593899e-120	0.43941941641093	0.552	0.199	6.35466555418756e-116	0	JTB
NAA38	3.55899168820655e-119	0.396601189263252	0.493	0.152	6.86244777319986e-115	0	NAA38
P4HB	5.57259255127666e-119	0.474715579597479	0.743	0.398	1.07450729573717e-114	0	P4HB
SH3YL1	2.16193993009768e-118	0.303621865858749	0.384	0.081	4.16865257321435e-114	0	SH3YL1
ORMDL3	4.10921726218469e-118	0.255775054060873	0.311	0.046	7.92339272494452e-114	0	ORMDL3
TMEM205	1.08402215788099e-117	0.332451803859155	0.408	0.098	2.09021152482613e-113	0	TMEM205
LDHB	1.6005281077078e-117	0.596690462942147	0.658	0.313	3.08613829728218e-113	0	LDHB
ABCA3	1.87876675478703e-117	0.270510911983665	0.335	0.054	3.62263805658036e-113	0	ABCA3
MLPH	1.52904168944924e-116	0.385941966560031	0.519	0.165	2.94829818559603e-112	0	MLPH
IRX3	1.67730203523816e-116	0.297690308445767	0.3	0.042	3.23417378434623e-112	0	IRX3
TSTD1	1.72048263744103e-116	0.361189710043879	0.469	0.134	3.31743462151379e-112	0	TSTD1
MAGED1	5.19499132422199e-116	0.282817294707834	0.335	0.06	1.00169822713648e-111	0	MAGED1
TMCO1	6.56310825902207e-116	0.428924523292468	0.521	0.18	1.26549853450464e-111	0	TMCO1
S100A13	1.11053438949687e-115	0.3708673545319	0.486	0.14	2.14133240982787e-111	0	S100A13
PLD3	3.67842546464676e-115	0.384933342630787	0.612	0.23	7.09273998093189e-111	0	PLD3
PLS3	5.20375118384912e-115	0.348022260388565	0.45	0.118	1.00338730326979e-110	0	PLS3
TP53I11	1.12734403782853e-114	0.26778090497254	0.3	0.044	2.17374477374097e-110	0	TP53I11
SORBS2	3.690531138827e-113	0.305464993390365	0.339	0.063	7.11608214188621e-109	0	SORBS2
TRIM2	8.20739816915791e-113	0.282384442124746	0.269	0.034	1.58255051497703e-108	0	TRIM2
DDAH1	4.20769508847476e-112	0.271472826584858	0.303	0.047	8.11327766959704e-108	0	DDAH1
RTL8A	1.9901176134627e-111	0.258940790792301	0.325	0.058	3.83734478227878e-107	0	RTL8A
CTTN	6.8930411966149e-111	0.329832755014445	0.392	0.095	1.32911620353128e-106	0	CTTN
SCPEP1	7.29881948056213e-111	0.438178684811038	0.575	0.224	1.40735837224199e-106	0	SCPEP1
TOB1	1.45322442195455e-110	0.384359463622466	0.462	0.132	2.80210733041276e-106	0	TOB1
CD55	3.2157747998214e-110	0.488007555730619	0.576	0.217	6.20065696901562e-106	0	CD55
SFTPA2	3.36338298150539e-110	0.720547651785049	0.547	0.204	6.48527506493869e-106	0	SFTPA2
SRD5A3	3.49363085280789e-110	0.260903046076334	0.269	0.035	6.73641901038417e-106	0	SRD5A3
MMP24OS	8.51602361119664e-110	0.343309150576941	0.429	0.118	1.64205967271094e-105	0	MMP24OS
SDHC	1.83939073094816e-109	0.351133913525611	0.458	0.134	3.54671320741424e-105	0	SDHC
MAOA	3.53395554609212e-109	0.27291478790176	0.348	0.069	6.81417308397483e-105	0	MAOA
UQCRQ	4.01946367481215e-109	0.469361185804765	0.603	0.267	7.75032985777279e-105	0	UQCRQ
RAB20	2.77912541658953e-108	0.302156375985844	0.335	0.066	5.35870962826792e-104	0	RAB20
PIM3	1.65591526351539e-107	0.377851316107816	0.492	0.156	3.19293581111038e-103	0	PIM3
YIPF3	2.45645936494731e-107	0.327202698691295	0.409	0.107	4.73654494749141e-103	0	YIPF3
PMF1	3.68747273650705e-107	0.319037613344895	0.35	0.077	7.11018493053289e-103	0	PMF1
SDC4	5.12158534742196e-106	0.371606145284152	0.443	0.124	9.87544086689902e-102	0	SDC4
ITGA3	1.18000299353028e-105	0.285668448832765	0.305	0.054	2.27528177212509e-101	0	ITGA3
RHOB	2.05623314845314e-105	0.514610491137204	0.683	0.341	3.96482875684735e-101	0	RHOB
HMGB3	3.2932739565614e-105	0.322673849424276	0.278	0.042	6.3500908430417e-101	0	HMGB3
PRDX2	3.97080691136001e-105	0.363273995349402	0.505	0.174	7.65650988648438e-101	0	PRDX2
KCNJ15	9.0666717093837e-104	0.278556694759285	0.267	0.038	1.74823563900337e-99	0	KCNJ15
BCAP31	2.78177028992718e-103	0.414682024924991	0.569	0.229	5.3638094730376e-99	0	BCAP31
PHPT1	8.38398949250893e-103	0.380625632932798	0.501	0.18	1.61660085394557e-98	0	PHPT1
DSTN	5.4748073207745e-102	0.385588583791881	0.783	0.462	1.05565234759174e-97	0	DSTN
NDUFB9	5.48068450110579e-102	0.352532680911431	0.472	0.156	1.05678558550322e-97	0	NDUFB9
SRP9	6.57458236315063e-102	0.38561222863528	0.528	0.193	1.2677109712627e-97	0	SRP9
RNF145	1.9968528452928e-101	0.357817947247949	0.508	0.175	3.85033165629358e-97	0	RNF145
EZR	2.92980701320867e-99	0.361128333301557	0.607	0.237	5.64925388286897e-95	0	EZR
AGER	3.71106407228225e-99	0.441837849495704	0.256	0.036	7.15567374417464e-95	0	AGER
TFPI	1.66839327885114e-98	0.361842139217105	0.467	0.143	3.21699592028077e-94	0	TFPI
SMIM30	7.82230942358086e-98	0.301678199263788	0.37	0.096	1.50829770305486e-93	0	SMIM30
HLA-DMA	3.00017876287097e-97	0.443885057905764	0.621	0.267	5.78494469056781e-93	0	HLA-DMA
DPM3	1.25272943929855e-96	0.321965181339956	0.369	0.098	2.41551290485546e-92	0	DPM3
FAM13A	2.61838315631469e-96	0.283496208156661	0.311	0.063	5.04876640200598e-92	0	FAM13A
SLC25A5	3.45092080596975e-96	0.510606576381007	0.584	0.275	6.65406549807087e-92	0	SLC25A5
MSLN	6.48141015951126e-96	0.539877027346517	0.266	0.046	1.24974550695696e-91	0	MSLN
ECH1	7.38252829964443e-96	0.352036345313682	0.509	0.188	1.42349910673744e-91	0	ECH1
SERPINH1	9.09950834251429e-96	0.283437654096255	0.427	0.123	1.75456719860361e-91	0	SERPINH1
PRDX5	1.28631347247665e-95	0.333594301389495	0.587	0.257	2.48026963762948e-91	0	PRDX5
TUFM	1.61090245777786e-95	0.33567028961576	0.511	0.187	3.10614211908726e-91	0	TUFM
PNKD	1.86830351423477e-95	0.285382457241586	0.384	0.105	3.60246283614748e-91	0	PNKD
RPL31	2.12179437374994e-95	0.507720618176934	0.955	0.862	4.09124391146464e-91	0	RPL31
CDK2AP2	2.81432275369017e-94	0.308839919224639	0.368	0.097	5.42657713366538e-90	0	CDK2AP2
