marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
ACTA2	Cancer associated fibroblast(CAF)	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Fibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Stellate cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Myofibroblast	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ACTA2	Smooth muscle cell	9.51538717975636e-141	3.22413697950464	0.943	0.064	1.83475695600062e-136	11	0.879
ADH1B	Cancer cell	0	2.00329776664312	0.764	0.008	0	5	0.756
AEBP1	Granulosa cell	0	1.83991091906714	0.901	0.026	0	5	0.875
AEBP1	Endothelial cell	0	1.83991091906714	0.901	0.026	0	5	0.875
AGR2	Columnar epithelial cell	8.54749844752643e-70	1.42190979669143	0.851	0.152	1.64812865065205e-65	8	0.699
AIF1	Gonadal endothelial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	CD1C-CD141- dendritic cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Myeloid cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	White blood cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Macrophage	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Microglial cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AIF1	Paneth cell	0	1.60946838477847	0.87	0.065	0	2	0.805
AKNA	Natural killer T (NKT) cell	7.62962076457468e-101	0.440153336194787	0.391	0.104	1.47114347582529e-96	1	0.287
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Astrocyte	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Fibroblast	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem-like cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Epithelial-mesenchymal transition cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Astrocyte	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Hematopoietic stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Hematopoietic stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALDH1A1	Cancer stem cell	5.72973065979177e-54	1.53705181968276	0.851	0.224	1.10480666582105e-49	8	0.627
ALOX5	Mast cell	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
ALOX5	Monocyte	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
ALOX5	Beta cell(¦Â cell)	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
ALOX5	CD1C-CD141- dendritic cell	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
ALOX5	Mast cell	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
ALOX5	Microglial cell	8.54616287786489e-293	0.824162595147125	0.78	0.119	1.64787112610991e-288	2	0.661
APOC1	Myeloid cell	0	2.61897130323038	0.895	0.183	0	2	0.712
APOD	Oligodendrocyte precursor cell	0	1.09629798141177	0.607	0.07	0	0	0.537
APOD	Adipocyte progenitor cell	0	1.09629798141177	0.607	0.07	0	0	0.537
APOD	Oligodendrocyte	0	1.09629798141177	0.607	0.07	0	0	0.537
APOD	Fibroblast	0	1.09629798141177	0.607	0.07	0	0	0.537
APOD	Fibroblast	0	1.09629798141177	0.607	0.07	0	0	0.537
APP	Plasmacytoid dendritic cell	5.51095190384525e-185	1.27776060359448	0.877	0.186	1.06262174609944e-180	4	0.691
AQP1	Enterocyte progenitor cell	0	1.73667525240045	0.918	0.086	0	4	0.832
AQP1	Proximal tubular cell	0	1.73667525240045	0.918	0.086	0	4	0.832
AQP1	Proximal tubule (PT) cell	0	1.73667525240045	0.918	0.086	0	4	0.832
AQP1	Astrocyte	0	1.73667525240045	0.918	0.086	0	4	0.832
AQP1	Endothelial cell	0	1.73667525240045	0.918	0.086	0	4	0.832
AQP3	Principal cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Airway secretory cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Natural killer T (NKT) cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Memory CD8+ T cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Effector memory T cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Principal cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	CD8+ T cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Memory CD4+ T cell	0	1.49653739314321	0.857	0.126	0	0	0.731
AQP3	Pancreatic polypeptide cell	0	1.49653739314321	0.857	0.126	0	0	0.731
ARHGAP18	AXL+SIGLEC6+ dendritic cell	1.27184022858847e-121	0.686601756443895	0.672	0.205	2.45236232876428e-117	3	0.467
ARHGEF6	MKI67+ progenitor cell	4.16542142227216e-235	0.730878291618445	0.584	0.063	8.03176558642519e-231	3	0.521
ATF4	Circulating fetal cell	8.24198716755429e-17	0.497653198598675	0.746	0.29	1.58921996564782e-12	9	0.456
ATP1A1	Tubular cell	7.03083869683836e-38	0.691732954308951	0.836	0.454	1.35568631752437e-33	6	0.382
BANK1	B cell	4.73763388474351e-115	0.618138619870425	0.346	0.02	9.13510565656244e-111	7	0.326
BANK1	B cell	4.73763388474351e-115	0.618138619870425	0.346	0.02	9.13510565656244e-111	7	0.326
BANK1	Secretory progenitor cell	4.73763388474351e-115	0.618138619870425	0.346	0.02	9.13510565656244e-111	7	0.326
BANK1	B cell	4.73763388474351e-115	0.618138619870425	0.346	0.02	9.13510565656244e-111	7	0.326
BCAM	Cancer cell	1.16500621370885e-168	1.21181130682509	0.86	0.188	2.2463649812734e-164	4	0.672
BCAM	Secretory progenitor cell	1.16500621370885e-168	1.21181130682509	0.86	0.188	2.2463649812734e-164	4	0.672
BCL2L11	Natural killer T (NKT) cell	2.96000403000477e-87	0.93046093843859	0.778	0.078	5.70747977065519e-83	9	0.7
BGN	MKI67+ progenitor cell	0	2.22193649945501	0.958	0.032	0	5	0.926
BGN	MKI67+ progenitor cell	1.18627501864952e-141	1.87236298497796	0.981	0.064	2.28737549096e-137	11	0.917
BGN	Neural crest stem cell	0	2.22193649945501	0.958	0.032	0	5	0.926
BGN	Neural crest stem cell	1.18627501864952e-141	1.87236298497796	0.981	0.064	2.28737549096e-137	11	0.917
BMP2K	Meiotic prophase fetal germ cell	2.59061798390023e-297	0.826177028794867	0.654	0.06	4.99522959655642e-293	3	0.594
BMP2K	B cell	2.59061798390023e-297	0.826177028794867	0.654	0.06	4.99522959655642e-293	3	0.594
BTG1	Natural killer T (NKT) cell	4.51539405463621e-19	0.411914296121977	0.961	0.756	8.70658281614953e-15	7	0.205
BTG1	Natural killer T (NKT) cell	0	1.49119157094857	0.997	0.69	0	1	0.307
BTG1	Monocyte	4.51539405463621e-19	0.411914296121977	0.961	0.756	8.70658281614953e-15	7	0.205
BTG1	Monocyte	0	1.49119157094857	0.997	0.69	0	1	0.307
BTK	Mast cell	9.54938471529474e-224	0.563656278566543	0.544	0.055	1.84131236080313e-219	3	0.489
BTK	Paneth cell	9.54938471529474e-224	0.563656278566543	0.544	0.055	1.84131236080313e-219	3	0.489
C12orf75	Effector CD8+ memory T (Tem) cell	5.9325793048662e-121	1.20198038267998	0.581	0.034	1.1439199415643e-116	8	0.547
C12orf75	Natural killer T (NKT) cell	5.9325793048662e-121	1.20198038267998	0.581	0.034	1.1439199415643e-116	8	0.547
C12orf75	Microglial cell	5.9325793048662e-121	1.20198038267998	0.581	0.034	1.1439199415643e-116	8	0.547
C16orf89	LGR5+ stem cell	2.11374576568603e-40	0.571128843728564	0.655	0.21	4.07572458539581e-36	6	0.445
C16orf89	LGR5+ stem cell	4.09892960403922e-302	0.936410257919116	0.621	0.08	7.90355606250843e-298	0	0.541
C1QA	Macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Dendritic cell	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Microglial cell	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Microglial cell	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	M2 macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Paneth cell	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QA	Macrophage	0	2.49669291079407	0.938	0.198	0	2	0.74
C1QB	Macrophage	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	Macrophage	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	Myeloid cell	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	Monocyte	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	Paneth cell	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	M2 macrophage	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QB	Macrophage	0	2.35807046375669	0.908	0.171	0	2	0.737
C1QC	Microglial cell	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	M2 macrophage	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Macrophage	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Tumor©\associated macrophage (TAM)	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Paneth cell	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Macrophage	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Myeloid cell	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Macrophage	0	1.94916117945355	0.889	0.058	0	2	0.831
C1QC	Myeloid cell	0	1.94916117945355	0.889	0.058	0	2	0.831
C1R	Liver bud hepatic cell	0	2.102307151251	0.963	0.08	0	5	0.883
C1R	Granulosa cell	0	2.102307151251	0.963	0.08	0	5	0.883
C1R	DCLK1+ progenitor cell	0	2.102307151251	0.963	0.08	0	5	0.883
C1R	Leydig precursor cell	0	2.102307151251	0.963	0.08	0	5	0.883
C1S	Granulosa cell	0	2.10693959301237	0.974	0.067	0	5	0.907
C1S	DCLK1+ progenitor cell	0	2.10693959301237	0.974	0.067	0	5	0.907
C1S	Oogenesis phase fetal germ cell	0	2.10693959301237	0.974	0.067	0	5	0.907
C1S	Leydig precursor cell	0	2.10693959301237	0.974	0.067	0	5	0.907
C3	DCLK1+ progenitor cell	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	0.526
C3	DCLK1+ progenitor cell	2.69159028345456e-39	0.569550196579192	0.709	0.253	5.18992438455708e-35	6	0.456
C3	Complement-secreting cancer associated fibroblast	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	0.526
C3	Complement-secreting cancer associated fibroblast	2.69159028345456e-39	0.569550196579192	0.709	0.253	5.18992438455708e-35	6	0.456
C3	Microglial cell	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	0.526
C3	Microglial cell	2.69159028345456e-39	0.569550196579192	0.709	0.253	5.18992438455708e-35	6	0.456
C3	Microglial cell	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	0.526
C3	Microglial cell	2.69159028345456e-39	0.569550196579192	0.709	0.253	5.18992438455708e-35	6	0.456
C3	A1 astrocyte	7.23554932317303e-236	0.614390726455595	0.654	0.128	1.39515862049422e-231	0	0.526
C3	A1 astrocyte	2.69159028345456e-39	0.569550196579192	0.709	0.253	5.18992438455708e-35	6	0.456
C3AR1	Microglial cell	0	0.718062109678415	0.706	0.058	0	2	0.648
C3AR1	Microglial cell	0	0.718062109678415	0.706	0.058	0	2	0.648
C3AR1	CD1C-CD141- dendritic cell	0	0.718062109678415	0.706	0.058	0	2	0.648
C3AR1	Macrophage	0	0.718062109678415	0.706	0.058	0	2	0.648
CACNA2D2	Neuron	9.40842510237179e-50	0.409665225083138	0.43	0.086	1.81413252823933e-45	6	0.344
CALD1	Leydig precursor cell	5.88331584642521e-307	1.80509648356966	0.969	0.087	1.13442096150771e-302	5	0.882
CALD1	Leydig precursor cell	1.6349127329367e-96	2.39561575990514	1	0.117	3.15243873164854e-92	11	0.883
CALD1	Mitotic fetal germ cell	5.88331584642521e-307	1.80509648356966	0.969	0.087	1.13442096150771e-302	5	0.882
CALD1	Mitotic fetal germ cell	1.6349127329367e-96	2.39561575990514	1	0.117	3.15243873164854e-92	11	0.883
CALD1	Cancer-associated fibroblast	5.88331584642521e-307	1.80509648356966	0.969	0.087	1.13442096150771e-302	5	0.882
CALD1	Cancer-associated fibroblast	1.6349127329367e-96	2.39561575990514	1	0.117	3.15243873164854e-92	11	0.883
CALD1	Idiopathic pulmonary fibrosis myofibroblast	5.88331584642521e-307	1.80509648356966	0.969	0.087	1.13442096150771e-302	5	0.882
CALD1	Idiopathic pulmonary fibrosis myofibroblast	1.6349127329367e-96	2.39561575990514	1	0.117	3.15243873164854e-92	11	0.883
CAPG	B cell	3.76239565820283e-79	0.526113927893114	0.719	0.282	7.25465130814669e-75	3	0.437
CAPG	Mitotic fetal germ cell	3.76239565820283e-79	0.526113927893114	0.719	0.282	7.25465130814669e-75	3	0.437
CAPG	Gonadal endothelial cell	3.76239565820283e-79	0.526113927893114	0.719	0.282	7.25465130814669e-75	3	0.437
CAPS	Cancer cell	8.27463236545519e-117	2.6653467045787	0.757	0.068	1.59551461270707e-112	8	0.689
CAPSL	Ciliated cell	0	1.45522628280576	0.622	0.001	0	8	0.621
CAV1	Endothelial cell	1.9472191809651e-51	1.31001417488817	0.906	0.163	3.75462802473691e-47	11	0.743
CAV1	Endothelial cell	8.97916406523852e-280	1.68669554240543	0.951	0.123	1.73136241505929e-275	4	0.828
CAV1	Fibroblast	1.9472191809651e-51	1.31001417488817	0.906	0.163	3.75462802473691e-47	11	0.743
CAV1	Fibroblast	8.97916406523852e-280	1.68669554240543	0.951	0.123	1.73136241505929e-275	4	0.828
CAVIN2	Megakaryocyte	2.56571824776888e-219	1.7169272857172	0.938	0.172	4.94721792534795e-215	4	0.766
CAVIN2	Megakaryocyte	8.76145249013676e-133	0.709862533731825	0.663	0.163	1.68938326914817e-128	3	0.5
CCDC80	DCLK1+ progenitor cell	0	2.71275195422435	0.859	0.026	0	5	0.833
CCL4	T helper 1(Th1) cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL4	T cell large granular lymphocytic leukemia cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL4	Finally highly effector (TEMRA) memory T cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL4	Paneth cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL4	Microglial cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL4	Microglial cell	9.61922214742837e-134	1.63341526333794	0.412	0.092	1.85477841446714e-129	1	0.32
CCL5	Natural killer T (NKT) cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Finally highly effector (TEMRA) memory T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Immuneendothelial cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Activated CD8+ T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Megakaryocyte	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	T cell large granular lymphocytic leukemia cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Memory CD8+ T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Natural killer cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	CD8+ T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCL5	Cytotoxic CD8+ T cell	3.78599591005498e-277	1.42146975318814	0.501	0.043	7.30015731376802e-273	1	0.458
CCNH	Natural killer T (NKT) cell	6.20804636452081e-118	0.600071793039467	0.483	0.156	1.1970355000069e-113	1	0.327
CCNH	Oogenesis phase fetal germ cell	6.20804636452081e-118	0.600071793039467	0.483	0.156	1.1970355000069e-113	1	0.327
CD163	Macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Tumor©\associated macrophage (TAM)	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Myeloid cell	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	B cell	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Myeloid cell	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	CD1C+_B dendritic cell	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Myeloid cell	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	Macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
CD163	M2 macrophage	0	1.27271049661706	0.815	0.068	0	2	0.747
