Tag	p.value	HR	Low 95%CI	High 95%CI
MS4A7	0.0235592101994383	0.850399927777068	0.739101285417211	0.978458638121591
DOCK2	0.0550453238719799	0.869733092555475	0.754158356376336	1.00301965215995
RGS18	0.20166675750403	0.910399891639821	0.788228333574755	1.05150744700957
CD84	0.0517220816201429	0.869423125169226	0.755107330313147	1.00104520276018
PLEK	0.076623981393625	0.881891304494554	0.767349089656904	1.01353123816286
FPR3	0.555527380399846	0.960431309485738	0.839789122777261	1.09840467710505
NCF4	0.0878834940938526	0.887146751378339	0.773165928921851	1.01793073005509
FGR	0.059189923497262	0.875340669852991	0.7622745017834	1.00517764467531
PLXNC1	0.128309642300841	0.897445913089605	0.78063272486477	1.03173892314181
TREM2	0.049347308444841	0.867218964304504	0.752374843612768	0.999593139555382
ALOX5	0.151949455390103	0.901738714310834	0.782761220878696	1.03880045050541
CD83	0.0429365153141207	0.863600396641168	0.749291120151325	0.995348303244487
FCER1G	0.454502530802438	0.9495655292892	0.829141446513525	1.08747994471359
TRPV2	0.282872899579004	0.926333870358766	0.805591074122575	1.06517371770592
GPR34	0.0685145073156261	0.876828886875551	0.761191489580491	1.01003349010528
CCR2	0.000593196789113956	0.773610565409113	0.668204433169985	0.895644023302013
FOLR2	0.0773146081679687	0.881259207108347	0.765939820099923	1.01394100389234
HLA-DRB1	0.0147159432407273	0.842563999047829	0.734218161337536	0.966898028234836
LRRC25	0.455768970621883	0.948774051549136	0.826321686522982	1.08937259613835
TLR8	0.0624473548860313	0.871516602119436	0.754130347708622	1.00717494008513
PLEKHO2	0.294701854105767	0.929402050354944	0.810457841629699	1.06580271895085
EVI2B	0.0539684185023517	0.872463955177968	0.75942380299662	1.00233012197034
ARHGEF6	0.017720665206726	0.845267277091307	0.735621949881142	0.971255370828445
CLEC10A	0.00669711643313903	0.816988519911286	0.705933260364919	0.945514652931635
PILRA	0.307098647647303	0.931355958358875	0.812545513149633	1.06753887275584
ATP8B4	0.0379729005726923	0.854874852609676	0.737199279825911	0.99133441068607
HLA-DQA1	0.0295940919590599	0.857825124947104	0.747128781513974	0.984922496894535
CXorf21	0.00186250082724027	0.80007788052244	0.69520181734582	0.920775232356531
CD74	0.015557082574905	0.848276414292862	0.742402059405122	0.969249567575474
LCP1	0.0862750655014081	0.887948123819992	0.77520440868618	1.01708899196241
PTPN22	0.174140478437331	0.904696238345137	0.7830176228492	1.0452833496871
GMFG	0.0173171058086564	0.845532918398587	0.736408962820938	0.970827287811637
CD52	0.00683060726708534	0.819441273247439	0.709341214205567	0.946630460565326
PIK3CG	0.00464837601883172	0.81342486804256	0.705043614494363	0.93846678751155
CLEC5A	0.351241716735646	0.934557672313299	0.810595011127472	1.07747769341046
CD37	0.0242814063760282	0.851513825331138	0.740377986230709	0.979331919931136
TFEC	0.102239442670696	0.886861525970405	0.767914749466168	1.0242326596713
TLR4	0.100865661990053	0.888105547943826	0.77072564119402	1.02336216953505
CASP1	0.329598718013921	0.93077617878211	0.805772450145518	1.07517239492585
CYTH4	0.0647249614908392	0.877083863970629	0.763138915229525	1.00804203413775
CLEC7A	0.0175783724683252	0.847250352940054	0.738904198174458	0.971483397077091
IRF8	0.013661255238434	0.835821498532982	0.724788039854804	0.963864659728475
COLEC12	0.149615221717459	0.898761900094071	0.777302547636172	1.03920018725938
HK3	0.125116566424783	0.896915666398345	0.780493509711326	1.03070391056592
PTGER4	0.324129935956725	0.931502338928221	0.808962556054649	1.07260416558777
PIK3R5	0.103894742737742	0.887717908915471	0.769017220310042	1.02474049344635
MYO1F	0.0560105769773586	0.869777163499268	0.753810157662619	1.0035846644606
HLA-DOA	0.0143891445065035	0.839166416412168	0.729227346764625	0.965680014001638
SIGLEC1	0.372795599942604	0.936936734491806	0.811891011404104	1.08124173332329
GAPT	0.00758225102163783	0.817108484176097	0.704514697799998	0.947696729390449
SIRPB2	0.419512507661287	0.943930237243498	0.820533818108575	1.08588369317481
FAS	0.686778128542894	0.970667349453596	0.839893703944415	1.12180279346114
F13A1	0.178247373975723	0.906733665466952	0.78627084027979	1.04565233501292
KBTBD8	0.00670525246145497	0.818504368600059	0.708176097576694	0.946020917268855
ARHGAP18	0.127940625940371	0.899406586379911	0.784645288526019	1.03095273680056
PTPRC	0.0143931493660801	0.838455633325462	0.728111203515616	0.9655226367357
PARVG	0.0370951718611785	0.857069680822481	0.741379604808774	0.990812848128751
DOCK8	0.0586977249491482	0.868133562239083	0.749747230406309	1.00521329232186
FGL2	0.11711189166762	0.891752057323646	0.772700509864205	1.02914612011931
PIK3AP1	0.658987481312632	0.968883297274198	0.841976496515269	1.11491810949844
ABI3	0.212327809901609	0.913887507708395	0.793296491000826	1.05280987149178
ADAP2	0.356099961933799	0.93285061131798	0.804815996859603	1.08125368585105
C1QB	0.852159336465293	0.986655353784549	0.856652349599151	1.13638722593504
RTN1	0.0231623290662904	0.841695111372695	0.725359312706849	0.976689273988837
NFAM1	0.124423108523744	0.89659595866558	0.78005982330118	1.03054187522881
CCL13	0.0499808399609711	0.86501363502053	0.748257663849914	0.999987871719969
GLIPR2	0.400743643280381	0.940627371946968	0.815482924547489	1.08497655342915
PRAM1	0.0169331862028555	0.834618586372978	0.719537003357518	0.968106131399489
SLC15A3	0.651823794593087	0.96736446553893	0.837528078718168	1.11732852063855
MPEG1	0.0461550947693216	0.869020660805893	0.757007314601153	0.997608470012478
WAS	0.114574888612362	0.896319466673024	0.782379568016722	1.0268527185258
SLC37A2	0.265914508965032	0.923502810540332	0.802693206591145	1.06249490349841
CCL23	0.121739674098414	0.89033953414417	0.768540256490617	1.03144172262333
TAGAP	0.0163918589535261	0.839959382036142	0.728459711082456	0.968525441746328
GAB3	0.00278893815271043	0.796154107399721	0.685649437963766	0.924468580637768
EVI2A	0.0625044729278503	0.875673482365365	0.761506652234503	1.00695646645743
C1QC	0.943499163774411	0.994881657575594	0.863258170214895	1.14657416139365
C1QA	0.685987924013331	0.971386339846986	0.843862722817508	1.11818118720879
ANKRD44	0.00263525953838745	0.796360661224683	0.686532139468026	0.923759087575463
MARCO	0.234214201233706	0.918142588227636	0.7976275432804	1.0568664778681
FCN1	0.0315695078471856	0.853458125594321	0.738655417577947	0.986103607730066
DOCK10	0.275324146032624	0.923288633539727	0.799945122658091	1.06565047611149
ARHGAP31	0.294179337362273	0.926414804780952	0.803127153996617	1.06862828164436
STAC	0.456974174556591	0.944369437670081	0.8121618411468	1.09809842031732
ADORA3	0.168829916523616	0.901601700938307	0.777923314406142	1.04494313524386
GIMAP4	0.149400701762016	0.900290148880935	0.780484493378205	1.03848616987102
RAC2	0.869521476297251	1.01221847679504	0.875676661169524	1.17005087630961
CSF2RB	0.0295481938355784	0.857829994054567	0.747165946588803	0.984884686004889
DPEP2	0.00144623429659282	0.778427991501532	0.667240911723688	0.908142962019151
MEF2C	0.0801188646714429	0.878764138688694	0.760344433211646	1.01562709965988
ARHGAP30	0.0212797761147517	0.846599748712287	0.734730891261342	0.975501565327226
SLA	0.0762902277835556	0.882932115662546	0.769378619394931	1.01324510613698
ZEB2	0.0958766687937393	0.887577104848866	0.771335336283324	1.0213367390218
PTAFR	0.555841668981478	0.959313982959943	0.835480263434264	1.10150216370117
TESPA1	0.00621904845040763	0.809682061932079	0.696040761107533	0.941877369899174
PIK3R6	0.212437908915902	0.908320852523185	0.780901676970135	1.05653092503219
DPYD	0.444030412697731	0.947382613393637	0.824924671070851	1.08801912178896
IL10RA	0.0450673197581724	0.867406905746918	0.754751554903938	0.996877363483147
LIPA	0.167353625728778	0.906253072341686	0.788071808346475	1.04215710095249
GLIPR1	0.936011233401578	0.994437323952646	0.867831275651234	1.13951365779945
DAB2	0.614898868964135	0.96461349946587	0.838294504225784	1.10996696108744
CD1C	0.00411986738610509	0.800268861427194	0.687270193907216	0.93184639207042
LRRC8C	0.851736543928481	0.986336854520191	0.853829269803794	1.13940857381048
TRIM22	0.0319338476148253	0.853678383929805	0.738792276639899	0.986429888660324
P2RX7	0.0539611131062263	0.865202814112382	0.746732569761428	1.00246854076172
SIRPA	0.317731178025754	1.0743105730707	0.933390563147434	1.23650618827736
SLC7A7	0.681660462006968	0.971288529509186	0.845078640793065	1.11634747586423
S100B	0.0566015422964603	0.867159770693541	0.748959254850866	1.00401465505491
CPVL	0.21679130855689	0.915551577665982	0.795935801383025	1.05314359513688
GNAI2	0.90945084925824	0.991572462190328	0.857003787728012	1.14727141449488
TNFSF13B	0.745479498457591	1.02382370197877	0.888148761146471	1.18022455087413
IKZF1	0.0408509198344762	0.860059522315253	0.744356019711224	0.993748102167711
ARHGAP15	0.0046494466548194	0.809110540523084	0.698723653708553	0.936936746467474
OGFRL1	0.782325705283054	0.980081312826423	0.849721443019061	1.13044031975784
PPM1M	0.000784594493054469	0.798837851433295	0.700695935294336	0.910725866583632
MCEMP1	0.0468466105005405	0.858705390472189	0.738943088344363	0.997877859955518
SPRED1	0.698910062972819	0.971891204637051	0.841150054669614	1.1229536375907
SAMSN1	0.148191723010162	0.903820608937391	0.788047305314234	1.03660235576115
ACP5	0.0476644286154211	0.863605539590174	0.746941099451625	0.998491753310112
LHFPL2	0.143222441730253	1.11067407675112	0.965055125681804	1.27826574041087
STX11	0.221538644190177	0.914606526282522	0.792648742736579	1.05532886487726
CD200R1	0.000162251460234414	0.736795493293004	0.628652501544044	0.863541618944545
EMP3	0.233021878758994	1.09159736554643	0.945169547857604	1.26071011404128
CYSLTR1	0.0830449590080444	0.872172127654523	0.747199166785755	1.01804746856139
CCR5	0.127240731578805	0.891057034401519	0.768291534625048	1.03343926461967
STAC3	0.476643856668533	0.951097266380909	0.828436226853337	1.0919199098199
CD163	0.734440312630612	0.976122273384872	0.848910722423581	1.12239681680287
CD28	0.0369594199126141	0.855515772333653	0.7388517273445	0.990600968535578
NRROS	0.0890151771697701	0.883101645226328	0.765222759646611	1.01913920615952
CCR1	0.776338255154054	0.979771398578074	0.850931303160182	1.12811926169195
N4BP2L1	0.00643826361330114	0.812353521388351	0.699550431542682	0.943346203442075
CSF2RA	0.735644200765331	0.975576940749831	0.845129891014189	1.12615868571476
PTCRA	0.0675958240207433	0.864304658188381	0.739180008399411	1.01060977526125
GIMAP2	0.222248168249512	0.914131049954723	0.791401401196335	1.05589347608953
FAM49A	0.0460850107056995	0.86594102076052	0.751731176443445	0.997502664427788
CD300A	0.497917936693995	0.953365163316164	0.830388927516841	1.09455353329771
CD40	0.293264827633254	0.928745756401591	0.809148610474993	1.06602009676271
SLC2A9	0.353770423818168	0.933130676636628	0.806143169354265	1.08012186021225
KCTD12	0.0768507542372789	0.888523595628281	0.779480115392355	1.01282144906394
ARHGDIB	0.115406493353703	0.893749064942533	0.777109444112812	1.02789561642452
AOAH	0.424214385972934	0.942769114896004	0.815889641435081	1.08937968919233
ITGAX	0.0697486460570159	0.88121762255929	0.768656643050505	1.01026187092749
PLD4	0.0178270351132918	0.833127740952324	0.716338957682554	0.968957258711475
PDCD1LG2	0.922240178864173	0.992890844092265	0.860372687317804	1.14581999500189
GNGT2	0.170563323066954	0.902161684757364	0.778630345052126	1.04529153097643
MILR1	0.405526467879987	0.940585687070926	0.814172672150258	1.08662629560651
GPR183	0.292588022050062	0.927441868340243	0.806057058100573	1.06710611923346
IL7R	0.0548125683116563	0.868215117216218	0.751603775896491	1.00291871054488
GNG2	0.406967556919776	0.941522087427626	0.816539738796193	1.08563465927692
CD180	0.0792982044134097	0.881711185487746	0.766054258055246	1.01482970225608
CPA3	0.0175856757796044	0.844666905210834	0.734789852636195	0.970974460519249
IL16	0.00106160702379863	0.782906517443757	0.676197318543208	0.906455258320795
PTGS1	0.589656837684821	0.959996286105385	0.827630025589971	1.11353242492523
FMNL3	0.179905772518203	0.908038577775642	0.788629301344346	1.045528053958
CPED1	0.0101910638868667	0.826851179809352	0.715215832738258	0.955911267979885
RCSD1	0.0281651462501045	0.850977396545872	0.736783116459855	0.982870689154082
CMKLR1	0.203944811717868	0.911205055982562	0.789426680686409	1.05176918181463
CIITA	0.00426060230680563	0.805615267601643	0.694634166605406	0.934327723274152
DAPP1	0.955909155370836	0.996000282759114	0.864086171600136	1.14805281679163
RASSF2	0.0371110327444567	0.86380480810209	0.752716037985123	0.991288492400951
CX3CR1	0.00511670965322498	0.802054880918236	0.687287470760921	0.935986845930064
KAT2B	0.0551829919372044	0.870418847079494	0.755300306582305	1.0030830952253
BCL2A1	0.717128218943165	0.974193998910214	0.845706617302304	1.12220234310101
HLA-DMA	0.00130439302648482	0.796726146846857	0.693656123983957	0.915111293797388
FAM78A	0.0528799908306298	0.864191240903933	0.745472702642409	1.00181602653977
AP1S2	0.880709068045136	0.989024911843871	0.8562729908973	1.14235797070131
GIMAP6	0.0513795550646841	0.868116637063047	0.7529884493862	1.0008473518551
HLA-DQB1	0.0121765934986783	0.839805679917038	0.732658683817984	0.962622290021381
DCSTAMP	0.0380285836573071	0.847656113726325	0.725110188973169	0.990912688946098
CD1E	0.00334412860776655	0.791796407257643	0.677470037909475	0.925415908400489
CD14	0.596683254626547	0.962751692521619	0.836477915873273	1.1080876181717
CLECL1	0.00254980431881617	0.794465905887598	0.684176358769263	0.922534179276815
VAV1	0.34069795360152	0.936102661687352	0.817209568351091	1.07229311446543
ARHGAP25	0.0185902896486956	0.841757949463558	0.729269417708366	0.971597640432584
CSF1	0.433504264980534	0.944352538866503	0.818291255696714	1.08983410424484
ICOS	0.0372312715932379	0.854013046716766	0.736179901148719	0.990706596070349
TNFSF8	0.0207252508498571	0.840463959542751	0.725366708163014	0.973824217931341
GPNMB	0.0961962906640867	0.886505952034833	0.769205314448859	1.02169445300346
FLI1	0.147134358309175	0.899359513686832	0.779207946485037	1.03803809818378
TREML1	0.000981289467923033	0.75901668156961	0.644227610423053	0.894258975523611
GAL3ST4	0.930288320812367	0.99357755024934	0.860022355533786	1.14787289191659
CD1B	0.0050719875881833	0.79594113879803	0.678514217313519	0.933690525954559
CD44	0.618971068325854	1.037093904861	0.898414674657396	1.19717965193523
CARD16	0.733624513311469	0.975421443962307	0.845174982191098	1.1257396555621
STK10	0.9718575342882	0.997456031749066	0.865834407451157	1.14908639193658
CLEC12A	0.0112537187366523	0.818215013789616	0.700636056646961	0.955525771817478
MYO1G	0.525499418550279	0.953052143834187	0.821576464086205	1.10556768428999
C5AR1	0.717513410614671	1.02486889095436	0.897165925223317	1.17074914919954
CYP27A1	0.00299914768372936	0.799242845033313	0.689298619901577	0.926723348768864
LYZ	0.184865938152934	0.911880719536462	0.795644014673335	1.04509860104174
TRAF1	0.59374527410098	0.959725725967701	0.825181156365803	1.11620758905929
APOBR	0.203364369704622	0.911415539262939	0.790035491133688	1.05144426362155
MAFB	0.720807700707708	0.974016812157247	0.843066541488612	1.12530708274796
DSE	0.201029387337261	1.09487891187404	0.952846662867456	1.25808262586448
CTSS	0.15872343271671	0.902313400229871	0.782122517143226	1.04097434147302
GIMAP1	0.0301788914490627	0.845845205139459	0.727027306413723	0.984081484623463
SLC9A9	0.136619470481244	0.894401010239316	0.772170041320366	1.03598057980757
ITGA4	0.0437124175614812	0.862716084726768	0.747384851703487	0.995844431620302
ARHGAP9	0.00961171626935276	0.823826473229759	0.711430685310054	0.953979174651986
EMILIN2	0.657327946957299	0.96919035881466	0.844035827803817	1.112902936909
TMEM52B	0.244509154020147	0.915709709525007	0.789502171681928	1.06209242000185
MFNG	0.0403431544835768	0.859832189990378	0.744242763787664	0.993373978110425
RETN	0.130657112350319	0.890613946206901	0.76639465681244	1.0349670292291
SLC1A3	0.488831121030025	0.950112319512433	0.821943418214452	1.09826710657323
ITGAL	0.0109946182315789	0.824949152764306	0.711232974779869	0.956846952796556
SH3BGRL	0.363255768326977	0.937857473591304	0.816715480227299	1.0769682491218
FPR1	0.73566338268536	0.97725190647752	0.85504485397856	1.11692536861685
PLA2G4C	0.701606928635612	0.97259798154359	0.843738941532422	1.12113686726917
SELL	0.874886610669266	0.988194479986903	0.852396997032684	1.14562619727195
FCGR2B	0.139226240615908	0.899423377757279	0.781527820929758	1.03510379386612
KCNAB2	0.0889084475172226	0.88211948635379	0.763428894469444	1.01926295145778
ATP6V1B2	0.0644936804454059	0.872573283556304	0.755166543278598	1.00823340487336
IL12RB1	0.141982380988511	0.893849631279655	0.769513601878826	1.03827555664778
CCR4	0.00496177809028384	0.803808708720296	0.69021664992885	0.936095123583577
LILRB2	0.669721819812711	0.969859024578873	0.84262206602744	1.1163089188866
APBB1IP	0.530800732831226	0.953991372476838	0.82334074669353	1.1053741022962
LYL1	0.0549570030687806	0.867653399282895	0.75055675742811	1.00301864427524
RCBTB2	0.0041536500371613	0.811958413055872	0.704161546476013	0.936257408305763
TGFB1	0.574392586863167	1.04226435175813	0.902059226196323	1.20426125846128
CD274	0.500111046979396	1.0509927996453	0.90953190391803	1.21445532602869
CCL17	0.0342719075279883	0.851137937583369	0.733141917085701	0.988124907212183
STAT5A	0.29031260475444	0.926700927855089	0.804751786179636	1.06712979633672
HLA-E	0.424949193446521	0.943708626352583	0.818515613513165	1.08805007106679
CR1	0.0678031886706889	0.86796169670519	0.745590781179984	1.01041687472996
BTN3A3	0.387176099965546	0.935574845689291	0.80450316620962	1.08800105288644
DNAJC5B	0.0181520921471566	0.831072266890486	0.71280379401887	0.968963855958667
IFFO1	0.0861165167978575	0.877763453667335	0.756335236770326	1.01868674515818
NFATC2	0.150886580370981	0.90210221265352	0.783795254961787	1.03826655867424
PRKCB	0.0147536031782634	0.829553611804789	0.713857623534942	0.964000624453213
WIPF1	0.561664322820953	0.959031977354011	0.832687122317686	1.10454732508358
HCLS1	0.0401818842925167	0.869686151523593	0.761099194138137	0.993765343567875
CCRL2	0.22260175590716	0.912936703796854	0.78862163556179	1.05684828764017
MFSD1	0.984178403184055	0.998574836161732	0.867289659801168	1.14973318561648
GPR82	0.0361382379993736	0.849968872497724	0.730076019306428	0.989550492154745
GPR68	0.805962950073105	0.982443947332385	0.852964268596071	1.13157859618046
TNFAIP8	0.934357644953525	0.994213910978952	0.865981720444146	1.14143437147507
SLC8A1	0.366732794790946	0.935802293465782	0.810237086273512	1.08082676946263
KCNK13	0.790502040011458	0.981765786873275	0.85712492389381	1.12453159791012
MPP1	0.732595191118922	0.975575703224918	0.846561183532773	1.12425182164751
IL21R	0.0981586031327303	0.882256297383478	0.760535441787748	1.02345812108785
NAALADL1	0.0565984080122926	0.867655413768114	0.749829097572343	1.00399667001251
RNASE2	0.300989908654561	1.07801457107871	0.934981063167461	1.24292936107292
PIK3CD	0.0707595604733205	0.878715701754892	0.763737442948761	1.01100357412016
FUT7	0.103601536735839	0.884945655980572	0.763826685317879	1.02527029899849
RASSF4	0.0450191863973142	0.861984638035627	0.745472011856	0.996707461034682
INPP5D	0.184273994466604	0.906162133425206	0.783489740191574	1.04804156319002
PLA2G15	0.227230061555944	0.913340395860374	0.788378112637172	1.05810989084916
PSTPIP1	0.0352323952969678	0.852495322633539	0.734818593245897	0.989017264658225
GPR84	0.777967865078593	0.979954896524098	0.851293885018084	1.12806119733981
CD69	0.01104847836902	0.825005512998869	0.711248134906037	0.956957302346312
CTSO	0.885075315707466	0.989556066337945	0.858245591029855	1.1409568760513
GIMAP7	0.0428240965043835	0.861960470324094	0.746551235395564	0.995210800244223
TLR1	0.618132098019609	0.963643617961055	0.833067716217349	1.11468612258021
PTPN7	0.0797702557925227	0.878765379750896	0.760473850835061	1.01545712821127
SAMD9L	0.370837164217877	1.07117820754977	0.921426223082987	1.24526817620883
ADRB2	0.00646223180813932	0.812363996092584	0.699518816016056	0.943413167791564
CALHM2	0.843291887880876	0.98593745244499	0.856777878693612	1.13456787845165
HLA-DQB2	0.00994518166656007	0.827749765654994	0.716925493934172	0.9557055514681
RGL1	0.0195474232893312	0.848500088919702	0.739199042004757	0.973962843545067
CD1D	0.00340361283992753	0.803315633173689	0.693799482445237	0.930118892892343
PEA15	0.682601677697713	1.03069623161687	0.891649707592289	1.19142608675085
TNFSF12	0.0604967811163149	0.87526865902375	0.761606061962036	1.00589433794111
CYP2U1	0.025965083038133	0.849688619967442	0.736197773212721	0.980674999533808
GYPC	0.335023185583176	0.931144370768253	0.805427969668217	1.07648339996259
HIVEP3	0.835316915147913	0.984517632425343	0.849834937707823	1.14054497591113
MCOLN2	0.0198893469230513	0.840269616119512	0.725767928245359	0.972835806454839
APOBEC3G	0.796395399579498	0.980895811301816	0.847203205913398	1.1356857314912
TMEM150B	0.764104410198843	0.97817946569959	0.846916754964586	1.12978644182845
B2M	0.513588401814293	1.04828917803162	0.909980459884747	1.20761955802589
ATP6V0D2	0.0658490350469118	0.864283336200885	0.73988158924312	1.00960166612428
CEACAM21	0.0101806123838357	0.822538876815987	0.708667959673043	0.954706918294788
ABCA6	0.0183531142659864	0.822750690137146	0.699603305727201	0.967575042284181
EPB41L2	0.796891177002606	1.01944130390618	0.880403058250849	1.18043725810618
BTN2A2	0.000727401329344325	0.778764019311421	0.673623695254939	0.900314822720948
APOL3	0.949141256164371	1.00491842310751	0.864283587974851	1.16843713238515
C16orf54	0.0158175866663954	0.830376808981464	0.714017726118041	0.965698216825848
CEACAM4	0.443278684420044	0.940908834863622	0.805235051384519	1.09944224857353
RASGEF1B	0.227442276058265	0.915085499613348	0.792283445296984	1.05692158099898
CRTAM	0.0404663361000491	0.851923686031402	0.730843367635422	0.993063628899728
SUSD3	0.0187240293519336	0.841065361706561	0.728051078774578	0.971622683195849
DDO	0.12729591490852	0.888823487981044	0.763881029239986	1.03420187509146
GPR132	0.182339155911348	0.907510558689992	0.786876548899096	1.04663865670679
GIMAP8	0.0469302984088045	0.862635597292773	0.745633894252308	0.997996710520857
ARRDC4	0.819717673491773	0.98244710243763	0.84366423068556	1.14405977399774
TRAF3IP3	0.00238227633462189	0.785351602233936	0.671989894592409	0.917836925963764
FLVCR2	0.300342327596314	0.925983665676345	0.800577281493281	1.07103432600541
IL2RA	0.826035092106159	0.983471794941265	0.847649928488305	1.14105686668307
AGRP	0.187435215261578	0.902691525515471	0.77523496243016	1.05110325221027
P2RY14	0.011320353218647	0.825610316483054	0.711818334267333	0.957593197405974
CTSZ	0.0284460276752034	0.859269991404894	0.750252261478794	0.984128880429689
UBA7	0.0902421128533116	0.885476152990748	0.769245067804673	1.01926947643996
CD1A	0.0413689795710129	0.852707545377534	0.731659560322371	0.993782077587305
MAF	0.903146517838578	0.990977971852308	0.856384283675363	1.1467250852408
CCR8	0.122304164014029	0.886873829963071	0.761601161630267	1.03275208849433
CAPG	0.425572220378193	1.06492812444527	0.912257118078197	1.24314942329375
HDC	0.0192159249047003	0.824818568425598	0.702005194188932	0.969117716579966
LILRB4	0.452133223205033	0.947997074015393	0.82479738428448	1.08959905725377
LILRB5	0.155738984609687	0.898229926970974	0.774515148875195	1.04170590191554
MYD88	0.460053382120314	1.05626847371036	0.913481757245594	1.22137424169102
FCER1A	0.0152358168959645	0.829019299612326	0.712512859004873	0.964576274580626
MAP3K3	0.0302518392169401	0.85594628902726	0.743602486163788	0.985263044881973
THEMIS2	0.0659800183854497	0.883036342089846	0.773374749305935	1.00824753090427
