ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa04940	hsa04940	Type I diabetes mellitus	17/348	43/7914	8.6608882396887e-13	1.27875467538933e-11	9.86751353623975e-12	CD86/CD80/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/FAS/CD28/HLA-DMA/HLA-DQB1/HLA-E/LTA/IL1B/PRF1	17	pathway_KEGG	0.0488505747126437
hsa05320	hsa05320	Autoimmune thyroid disease	18/348	53/7914	3.87036641983716e-12	5.39701095210626e-11	4.1646048026318e-11	CD86/CD80/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/FAS/CD28/CD40/HLA-DMA/HLA-DQB1/HLA-E/CD40LG/CTLA4/PRF1	18	pathway_KEGG	0.0517241379310345
hsa05332	hsa05332	Graft-versus-host disease	16/348	41/7914	5.25445528427528e-12	6.94141198080576e-11	5.35634222884571e-11	CD86/CD80/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/FAS/CD28/HLA-DMA/HLA-DQB1/HLA-E/IL1B/PRF1	16	pathway_KEGG	0.0459770114942529
hsa05145	hsa05145	Toxoplasmosis	24/348	112/7914	6.20945827930455e-11	7.79287014052721e-10	6.01337012311598e-10	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/ALOX5/HLA-DRB1/HLA-DQA1/PIK3CG/TLR4/PIK3R5/HLA-DOA/PIK3R6/IL10RA/GNAI2/CCR5/CD40/CIITA/HLA-DMA/HLA-DQB1/TGFB1/MYD88/JAK2/CD40LG/BIRC3	24	pathway_KEGG	0.0689655172413793
hsa05321	hsa05321	Inflammatory bowel disease (IBD)	18/348	65/7914	1.83748588913112e-10	2.11376337953924e-09	1.63108602153583e-09	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/TLR4/HLA-DOA/HLA-DMA/HLA-DQB1/IL12RB1/TGFB1/IL21R/MAF/NOD2/FOXP3/IL1B/TBX21	18	pathway_KEGG	0.0517241379310345
hsa05310	hsa05310	Asthma	13/348	31/7914	1.85270097011407e-10	2.11376337953924e-09	1.63108602153583e-09	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/FCER1G/HLA-DRB1/HLA-DQA1/HLA-DOA/CD40/HLA-DMA/HLA-DQB1/FCER1A/CD40LG	13	pathway_KEGG	0.0373563218390805
hsa05340	hsa05340	Primary immunodeficiency	14/348	38/7914	2.8882260944547e-10	3.15193369438317e-09	2.43219039533027e-09	BTK/CD4/PTPRC/CD40/IL7R/CIITA/ICOS/CD40LG/CD3E/LCK/CD3D/ZAP70/TAP1/CD8A	14	pathway_KEGG	0.0402298850574713
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	33/348	219/7914	3.51098965366125e-10	3.67191001278739e-09	2.83343024681434e-09	CD4/SPI1/HLA-DRA/ITGB2/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/CD40/KAT2B/HLA-DMA/HLA-DQB1/ITGAL/TGFB1/STAT5A/HLA-E/NFATC2/PIK3CD/B2M/IL2RA/MAP3K3/EGR2/LTA/ETS1/CD3G/CD3E/LCK/CD3D/IL15RA/IL2RB/CCND2	33	pathway_KEGG	0.0948275862068965
hsa04660	hsa04660	T cell receptor signaling pathway	22/348	104/7914	5.19482508988975e-10	5.21560439024931e-09	4.02462238543037e-09	CD4/LCP2/PTPRC/CD28/VAV1/ICOS/NFATC2/PIK3CD/CD40LG/ITK/GRAP2/FYN/CD3G/CD247/CD3E/LCK/CD3D/CTLA4/RASGRP1/ZAP70/PDCD1/CD8A	22	pathway_KEGG	0.0632183908045977
hsa04612	hsa04612	Antigen processing and presentation	18/348	78/7914	4.63888467372602e-09	4.47830789655858e-08	3.45568736828173e-08	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/CD74/HLA-DOA/CIITA/HLA-DMA/HLA-DQB1/CTSS/HLA-E/B2M/CTSB/TAP1/CD8A	18	pathway_KEGG	0.0517241379310345
hsa04064	hsa04064	NF-kappa B signaling pathway	20/348	102/7914	1.29819693244414e-08	1.20684233349436e-07	9.31260177659731e-08	BTK/TLR4/CCL13/TNFSF13B/CD40/BCL2A1/CD14/TRAF1/PRKCB/MYD88/CD40LG/LTA/LTB/IL1B/SYK/LCK/CCL19/TNFAIP3/ZAP70/BIRC3	20	pathway_KEGG	0.0574712643678161
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	18/348	89/7914	4.24388106076322e-08	3.80433623661274e-07	2.93561697436253e-07	CD4/TLR4/CD28/CD274/NFATC2/PIK3CD/MYD88/MAP3K3/JAK2/CD3G/CD247/CD3E/LCK/CD3D/RASGRP1/ZAP70/PDCD1/BATF2	18	pathway_KEGG	0.0517241379310345
hsa05169	hsa05169	Epstein-Barr virus infection	28/348	201/7914	4.71958431106688e-08	3.95178693191299e-07	3.04939733894733e-07	BTK/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/FAS/CD40/HLA-DMA/HLA-DQB1/CD44/ITGAL/HLA-E/PIK3CD/B2M/MYD88/RUNX3/SYK/CD3G/CD247/CD3E/CD3D/TNFAIP3/CCND2/CXCL10/TAP1	28	pathway_KEGG	0.0804597701149425
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	22/348	131/7914	4.72325131304341e-08	3.95178693191299e-07	3.04939733894733e-07	ITGB2/TYROBP/LCP2/FCER1G/FAS/RAC2/VAV1/ITGAL/HLA-E/NFATC2/PRKCB/PIK3CD/SH2D1A/FYN/SYK/CD244/CD247/LCK/NCR3/PTK2B/ZAP70/PRF1	22	pathway_KEGG	0.0632183908045977
hsa04662	hsa04662	B cell receptor signaling pathway	17/348	82/7914	6.90731356663114e-08	5.59269582330457e-07	4.31560508067956e-07	BTK/PIK3AP1/RAC2/DAPP1/VAV1/FCGR2B/LILRB2/NFATC2/PRKCB/PIK3CD/INPP5D/LILRB4/LILRB5/SYK/LILRA5/CD72/CD22	17	pathway_KEGG	0.0488505747126437
hsa04621	hsa04621	NOD-like receptor signaling pathway	26/348	181/7914	7.72921824039153e-08	6.06260555730711e-07	4.67821104023698e-07	NLRC4/CYBB/NLRP3/TRPV2/TLR4/CASP1/P2RX7/CARD16/PSTPIP1/MYD88/NOD2/CCL2/IFI16/CTSB/NLRP1/IL1B/GBP2/GBP1/CARD9/TNFAIP3/GBP4/AIM2/PLCB2/BIRC3/GBP5/CCL5	26	pathway_KEGG	0.0747126436781609
hsa05133	hsa05133	Pertussis	16/348	76/7914	1.3472054586688e-07	1.02469263674506e-06	7.90704320239424e-07	ITGAM/ITGB2/NLRP3/TLR4/CASP1/IRF8/C1QB/C1QC/C1QA/GNAI2/CD14/MYD88/SERPING1/IL1B/C1R/C1S	16	pathway_KEGG	0.0459770114942529
hsa05144	hsa05144	Malaria	12/348	49/7914	9.15870814138319e-07	6.76128159849171e-06	5.21734457589631e-06	ITGB2/TLR4/CD40/ITGAL/TGFB1/CR1/GYPC/MYD88/CCL2/CD40LG/IL1B/KLRB1	12	pathway_KEGG	0.0344827586206897
hsa05322	hsa05322	Systemic lupus erythematosus	20/348	133/7914	1.2228254527395e-06	8.76940538964611e-06	6.76691378358098e-06	CD86/CD80/HLA-DRA/FCGR2A/HLA-DPA1/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DOA/C1QB/C1QC/C1QA/CD28/CD40/HLA-DMA/HLA-DQB1/CD40LG/C1R/C1S	20	pathway_KEGG	0.0574712643678161
hsa05164	hsa05164	Influenza A	23/348	170/7914	1.31063736067276e-06	9.13805493135728e-06	7.05138229133881e-06	HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DMB/TLR7/NLRP3/HLA-DRB1/HLA-DQA1/TLR4/CASP1/HLA-DOA/FAS/CIITA/HLA-DMA/HLA-DQB1/PRKCB/PIK3CD/MYD88/JAK2/CCL2/IL1B/CXCL10/CCL5	23	pathway_KEGG	0.0660919540229885
hsa05142	hsa05142	Chagas disease (American trypanosomiasis)	17/348	102/7914	1.82705084563934e-06	1.23943178987966e-05	9.56407839538092e-06	TLR4/FAS/C1QB/C1QC/C1QA/GNAI2/TGFB1/PIK3CD/MYD88/CCL2/IL1B/CD3G/CD247/CD3E/CD3D/PLCB2/CCL5	17	pathway_KEGG	0.0488505747126437
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	25/348	212/7914	5.81198098784642e-06	3.83896638934066e-05	2.96233934006576e-05	CD4/SAMHD1/TLR4/FAS/RAC2/GNAI2/CCR5/GNGT2/GNG2/AP1S2/HLA-E/NFATC2/PRKCB/PIK3CD/APOBEC3G/B2M/MYD88/TNFRSF1B/CD3G/CD247/CD3E/CD3D/CXCR4/PTK2B/TAP1	25	pathway_KEGG	0.0718390804597701
hsa04664	hsa04664	Fc epsilon RI signaling pathway	13/348	68/7914	6.41501919466605e-06	4.12864055861841e-05	3.18586648264117e-05	BTK/ALOX5AP/LCP2/ALOX5/FCER1G/RAC2/VAV1/PLA2G4C/PIK3CD/INPP5D/FCER1A/FYN/SYK	13	pathway_KEGG	0.0373563218390805
hsa04611	hsa04611	Platelet activation	18/348	124/7914	7.00339083587017e-06	4.39462774950853e-05	3.39111556263187e-05	BTK/FCGR2A/P2RY12/LCP2/FCER1G/PIK3CG/PIK3R5/PIK3R6/GNAI2/PTGS1/PLA2G4C/APBB1IP/PIK3CD/RASGRP2/FYN/SYK/RASGRP1/PLCB2	18	pathway_KEGG	0.0517241379310345
hsa04610	hsa04610	Complement and coagulation cascades	14/348	79/7914	7.17978194324504e-06	4.39542748232806e-05	3.39173267665491e-05	ITGAM/C3AR1/ITGB2/VSIG4/F13A1/C1QB/C1QC/C1QA/ITGAX/C5AR1/CR1/SERPING1/C1R/C1S	14	pathway_KEGG	0.0402298850574713
hsa04620	hsa04620	Toll-like receptor signaling pathway	16/348	104/7914	1.07078223402122e-05	6.39919858903155e-05	4.93794313433343e-05	CD86/CD80/TLR7/TLR8/TLR4/CD40/CD14/PIK3CD/TLR1/MYD88/IRF5/IL1B/CXCL10/CXCL11/CCL5/CXCL9	16	pathway_KEGG	0.0459770114942529
hsa05135	hsa05135	Yersinia infection	17/348	120/7914	1.75261998349127e-05	0.00010230409671077	7.89429808965469e-05	LCP2/NLRP3/TLR4/CASP1/WAS/RAC2/VAV1/ITGA4/NFATC2/WIPF1/PIK3CD/MYD88/CCL2/IL1B/LCK/PTK2B/ZAP70	17	pathway_KEGG	0.0488505747126437
hsa04670	hsa04670	Leukocyte transendothelial migration	16/348	112/7914	2.78499466156884e-05	0.000158871286375859	0.000122593066442265	ITGAM/CYBB/ITGB2/NCF2/NCF4/RAC2/GNAI2/VAV1/ITGA4/ITGAL/PRKCB/PIK3CD/RASSF5/ITK/CXCR4/PTK2B	16	pathway_KEGG	0.0459770114942529
hsa05162	hsa05162	Measles	18/348	138/7914	3.13659373341031e-05	0.00017495222824133	0.000135001929110525	TLR7/TLR4/FAS/CD28/FCGR2B/STAT5A/PIK3CD/IL2RA/MYD88/SLAMF1/IL1B/CD3G/CD209/CD3E/CD3D/TNFAIP3/IL2RB/CCND2	18	pathway_KEGG	0.0517241379310345
hsa05146	hsa05146	Amoebiasis	15/348	102/7914	3.50046888148216e-05	0.00019100384548957	0.000147388163430828	ITGAM/ITGB2/TLR4/CD1C/CD1E/CD14/CD1B/TGFB1/PRKCB/PIK3CD/CD1D/CD1A/IL1B/SERPINB9/PLCB2	15	pathway_KEGG	0.0431034482758621
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	20/348	186/7914	0.000184142745108812	0.000983400617495994	0.000758841323628698	HCK/CD86/PIK3CG/PIK3R5/FAS/PIK3R6/CD200R1/CCR5/CCR1/GNGT2/GNG2/CCR4/HLA-E/NFATC2/PIK3CD/CCR8/PREX1/JAK2/CLEC2B/SYK	20	pathway_KEGG	0.0574712643678161
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	13/348	93/7914	0.000196276084788133	0.00102636036003794	0.000791991219320536	HCK/FCGR2A/DOCK2/PTPRC/WAS/RAC2/VAV1/PLA2G4C/FCGR2B/PRKCB/PIK3CD/INPP5D/SYK	13	pathway_KEGG	0.0373563218390805
hsa04142	hsa04142	Lysosome	15/348	123/7914	0.000303957356746686	0.0015570060519065	0.00120146409541118	LAPTM5/LIPA/ACP5/AP1S2/CTSS/PLA2G15/CTSO/ATP6V0D2/CTSZ/CTSC/CTSB/DNASE2B/GM2A/SLC11A1/CTSW	15	pathway_KEGG	0.0431034482758621
hsa05202	hsa05202	Transcriptional misregulation in cancer	19/348	186/7914	0.000510925232576857	0.00256484466753582	0.00197916300619246	ITGAM/CSF1R/SPI1/CD86/MEF2C/PTCRA/CD40/BCL2A1/CD14/FLI1/TRAF1/LYL1/MAF/MITF/IL2RB/BCL11B/CCND2/BIRC3/ETV7	19	pathway_KEGG	0.0545977011494253
hsa05134	hsa05134	Legionellosis	9/348	56/7914	0.000672419282214295	0.00330935764383898	0.00255366662388917	NLRC4/ITGAM/ITGB2/TLR4/CASP1/CD14/CR1/MYD88/IL1B	9	pathway_KEGG	0.0258620689655172
hsa05163	hsa05163	Human cytomegalovirus infection	21/348	225/7914	0.000876258001898061	0.00422962997070026	0.00326379498682679	PTGER4/FAS/RAC2/IL10RA/GNAI2/CCR5/CCR1/GNGT2/GNG2/HLA-E/NFATC2/PRKCB/PIK3CD/B2M/CCL2/IL1B/CXCR4/PTK2B/PLCB2/TAP1/CCL5	21	pathway_KEGG	0.0603448275862069
hsa04668	hsa04668	TNF signaling pathway	13/348	112/7914	0.00121042856082978	0.00573240695789197	0.00442341321137396	FAS/CSF1/TRAF1/PIK3CD/NOD2/CCL2/LTA/TNFRSF1B/IL1B/TNFAIP3/CXCL10/BIRC3/CCL5	13	pathway_KEGG	0.0373563218390805
hsa04625	hsa04625	C-type lectin receptor signaling pathway	12/348	104/7914	0.00194649142315963	0.00904364001519325	0.00697852699851356	NLRP3/FCER1G/CASP1/CLEC7A/CCL17/NFATC2/PIK3CD/EGR2/IL1B/SYK/CD209/CARD9	12	pathway_KEGG	0.0344827586206897
hsa04630	hsa04630	Jak-STAT signaling pathway	16/348	162/7914	0.00198167410691486	0.00904364001519325	0.00697852699851356	CSF2RB/IL10RA/CSF2RA/IL7R/IL12RB1/STAT5A/IL21R/PIK3CD/IL2RA/JAK2/IL3RA/OSM/IL22RA2/IL15RA/IL2RB/CCND2	16	pathway_KEGG	0.0459770114942529
hsa04015	hsa04015	Rap1 signaling pathway	19/348	210/7914	0.00218864089237686	0.00980980114261771	0.00756973541724327	ITGAM/CSF1R/ITGB2/LCP2/RAC2/GNAI2/VAV1/CSF1/ITGAL/FPR1/APBB1IP/PRKCB/PIK3CD/RASSF5/RASGRP2/TIAM1/DOCK4/LPAR5/PLCB2	19	pathway_KEGG	0.0545977011494253
hsa04210	hsa04210	Apoptosis	14/348	136/7914	0.00253685619288227	0.0111710684984816	0.00862015770065259	FAS/CSF2RB/BCL2A1/TRAF1/CTSS/PIK3CD/CTSO/CTSZ/CTSC/IL3RA/CTSB/BIRC3/PRF1/CTSW	14	pathway_KEGG	0.0402298850574713
hsa05020	hsa05020	Prion diseases	6/348	35/7914	0.00380900114490315	0.0164837808167361	0.0127197134421448	C1QB/C1QC/C1QA/IL1B/FYN/CCL5	6	pathway_KEGG	0.0172413793103448
hsa05143	hsa05143	African trypanosomiasis	6/348	37/7914	0.00506753626663019	0.0215585017444776	0.0166356230697584	FAS/PRKCB/MYD88/IL1B/PLCB2/IDO1	6	pathway_KEGG	0.0172413793103448
hsa04072	hsa04072	Phospholipase D signaling pathway	14/348	148/7914	0.00546594215088925	0.0228658579978867	0.0176444448379583	FCER1G/PIK3CG/CYTH4/PIK3R5/PIK3R6/PLA2G4C/PIK3CD/FCER1A/LPAR6/FYN/SYK/LPAR5/PTK2B/PLCB2	14	pathway_KEGG	0.0402298850574713
hsa05130	hsa05130	Pathogenic Escherichia coli infection	17/348	201/7914	0.00721868838268934	0.0297031276074594	0.022920425580929	NCKAP1L/HCK/FCGR2A/NLRP3/TLR4/CASP1/CYTH4/MYO1F/FAS/MYO1G/WIPF1/HCLS1/MYD88/MYO5A/IL1B/FYN/LPAR5	17	pathway_KEGG	0.0488505747126437
hsa04725	hsa04725	Cholinergic synapse	11/348	112/7914	0.0100121010911108	0.0405328608688517	0.0312771918635718	PIK3CG/PIK3R5/PIK3R6/GNAI2/GNGT2/GNG2/PRKCB/PIK3CD/JAK2/FYN/PLCB2	11	pathway_KEGG	0.0316091954022989
GO:0042110	GO:0042110	T cell activation	105/557	443/17913	3.52992786651357e-63	1.42679684364478e-59	1.05712050318222e-59	AIF1/NCKAP1L/HAVCR2/CD4/CD86/CD80/SPN/HLA-DPA1/HLA-DPB1/HLA-DMB/NLRP3/VSIG4/DOCK2/CD83/CCR2/CD74/LCP1/PTPN22/PIK3CG/CLEC7A/PTGER4/HLA-DOA/PTPRC/DOCK8/FGL2/WAS/RAC2/TESPA1/PIK3R6/CD1C/P2RX7/TNFSF13B/CD28/CD300A/PDCD1LG2/GPR183/IL7R/CLECL1/VAV1/ICOS/TNFSF8/GPNMB/CD44/MAFB/ITGAL/FCGR2B/IL12RB1/LILRB2/APBB1IP/TGFB1/CD274/HLA-E/CR1/NFATC2/PIK3CD/FUT7/CD1D/B2M/BTN2A2/IL2RA/LILRB4/NOD2/PREX1/CD2/CCR7/RUNX3/EBI3/CCL2/CD40LG/FOXP3/RASAL3/BTN3A1/TNFRSF1B/ITK/GRAP2/IL1B/FYN/SYK/CD3G/CD209/SLC11A1/SIT1/CD3E/LCK/THEMIS/CCL19/CD3D/CTLA4/CD6/NLRC3/TIGIT/SLAMF6/RASGRP1/SIRPG/BCL11B/SLA2/TBX21/ZAP70/EOMES/PDCD1/CCL5/CD8A/IRF4/PLA2G2D/IDO1	105	geneontology_Biological_Process	0.18850987432675
