dynamicColors	mergedColors
MBP	grey	grey
MBTD1	turquoise	pink
MBTPS1	turquoise	pink
MBTPS2	turquoise	pink
MC2R	grey	grey
MC4R	grey	grey
MC5R	grey	grey
MCAM	green	green
MCAT	grey	grey
MCC	green	green
MCCC2	turquoise	pink
MCEE	grey	grey
MCEMP1	yellow	magenta
MCF2	grey	grey
MCF2L	brown	brown
MCF2L2	blue	blue
MCFD2	blue	blue
MCHR1	grey	grey
MCL1	turquoise	pink
MCM10	blue	blue
MCM3	blue	blue
MCM3AP	turquoise	pink
MCM4	blue	blue
MCM5	blue	blue
MCM6	blue	blue
MCM7	blue	blue
MCM8	blue	blue
MCM9	turquoise	pink
MCMBP	blue	blue
MCMDC2	grey	grey
MCOLN2	magenta	magenta
MCOLN3	grey	grey
MCPH1	turquoise	pink
MCRS1	blue	blue
MCTP1	grey	grey
MCTP2	turquoise	pink
MCTS1	grey	grey
MCU	turquoise	pink
MCUR1	turquoise	pink
MDC1	turquoise	pink
MDFI	grey	grey
MDFIC	grey	grey
MDGA1	grey	grey
MDH1	blue	blue
MDH1B	black	black
MDH2	blue	blue
MDK	grey	grey
MDM1	grey	grey
MDM2	grey	grey
MDM4	brown	brown
MDN1	turquoise	pink
MDS2	grey	grey
ME1	grey	grey
ME2	grey	grey
ME3	grey	grey
MEAF6	turquoise	pink
MECOM	grey	grey
MECP2	turquoise	pink
MECR	turquoise	pink
MED1	turquoise	pink
MED10	grey	grey
MED11	grey	grey
MED12	turquoise	pink
MED12L	grey	grey
MED13	turquoise	pink
MED13L	turquoise	pink
MED14	turquoise	pink
MED15	turquoise	pink
MED16	turquoise	pink
MED17	brown	brown
MED18	grey	grey
MED19	grey	grey
MED20	blue	blue
MED21	grey	grey
MED22	turquoise	pink
MED23	turquoise	pink
MED24	turquoise	pink
MED25	brown	brown
MED26	turquoise	pink
MED27	blue	blue
MED28	turquoise	pink
MED29	turquoise	pink
MED30	blue	blue
MED4	grey	grey
MED6	blue	blue
MED7	turquoise	pink
MED8	grey	grey
MED9	turquoise	pink
MEDAG	green	green
MEF2A	turquoise	pink
MEF2C	yellow	magenta
MEF2D	turquoise	pink
MEGF10	grey	grey
MEGF11	grey	grey
MEGF6	brown	brown
MEGF8	turquoise	pink
MEGF9	turquoise	pink
MEI1	magenta	magenta
MEIG1	black	black
MEIOB	grey	grey
MEIS1	green	green
MEIS2	turquoise	pink
MEIS3	green	green
MELK	blue	blue
MEN1	turquoise	pink
MEOX1	grey	grey
MEOX2	green	green
MEP1A	grey	grey
MEP1B	grey	grey
MEPCE	turquoise	pink
MEPE	grey	grey
MERTK	grey	grey
MESP1	grey	grey
MESP2	grey	grey
MEST	blue	blue
MET	grey	grey
METAP1	blue	blue
METAP1D	brown	brown
METAP2	blue	blue
METRN	grey	grey
METRNL	grey	grey
METTL14	turquoise	pink
METTL15	turquoise	pink
METTL16	turquoise	pink
METTL18	turquoise	pink
METTL21A	blue	blue
METTL21C	grey	grey
METTL22	brown	brown
METTL25	grey	grey
METTL2B	blue	blue
METTL3	brown	brown
METTL4	turquoise	pink
METTL5	blue	blue
METTL6	pink	pink
METTL7A	red	red
METTL7B	grey	grey
METTL8	blue	blue
METTL9	blue	blue
MEX3A	blue	blue
MEX3B	turquoise	pink
MEX3C	turquoise	pink
MEX3D	blue	blue
MFAP1	turquoise	pink
MFAP3	turquoise	pink
MFAP3L	grey	grey
MFAP4	red	red
MFAP5	green	green
MFF	grey	grey
MFGE8	green	green
MFHAS1	turquoise	pink
MFN1	pink	pink
MFN2	turquoise	pink
MFNG	yellow	magenta
MFSD1	yellow	magenta
MFSD10	turquoise	pink
MFSD11	turquoise	pink
MFSD12	blue	blue
MFSD2A	grey	grey
MFSD3	grey	grey
MFSD5	grey	grey
MFSD6	turquoise	pink
MFSD6L	grey	grey
MFSD8	brown	brown
MFSD9	turquoise	pink
MGA	turquoise	pink
MGAM	grey	grey
MGARP	grey	grey
MGAT1	yellow	magenta
MGAT3	red	red
MGAT4A	grey	grey
MGAT4B	turquoise	pink
MGAT4C	grey	grey
MGAT5	turquoise	pink
MGAT5B	grey	grey
MGLL	blue	blue
MGME1	blue	blue
MGMT	grey	grey
MGP	red	red
MGRN1	turquoise	pink
MGST1	grey	grey
MGST2	grey	grey
MGST3	grey	grey
MIA2	grey	grey
MIA3	turquoise	pink
MIB1	turquoise	pink
MIB2	brown	brown
MICA	grey	grey
MICAL1	magenta	magenta
MICAL2	green	green
MICAL3	turquoise	pink
MICALL1	turquoise	pink
MICALL2	brown	brown
MICB	grey	grey
MICU1	turquoise	pink
MICU2	grey	grey
MICU3	grey	grey
MID1	grey	grey
MID1IP1	grey	grey
MID2	turquoise	pink
MIDN	turquoise	pink
MIEF1	turquoise	pink
MIEF2	turquoise	pink
MIER1	pink	pink
MIER2	turquoise	pink
MIER3	turquoise	pink
MIF4GD	turquoise	pink
MIIP	brown	brown
MILR1	yellow	magenta
MINK1	turquoise	pink
MINPP1	pink	pink
MIOS	turquoise	pink
MIOX	grey	grey
MIPEP	grey	grey
MIPOL1	grey	grey
MIS12	grey	grey
MIS18A	blue	blue
MIS18BP1	blue	blue
MISP	grey	grey
MITD1	brown	brown
MITF	yellow	magenta
MIXL1	grey	grey
MKI67	blue	blue
MKKS	grey	grey
MKLN1	turquoise	pink
MKNK1	brown	brown
MKNK2	turquoise	pink
MKRN1	turquoise	pink
MKRN2	turquoise	pink
MKS1	brown	brown
MKX	grey	grey
MLANA	turquoise	pink
MLC1	grey	grey
MLEC	turquoise	pink
MLF1	pink	pink
MLF2	blue	blue
MLH1	turquoise	pink
MLH3	turquoise	pink
MLIP	grey	grey
MLKL	grey	grey
MLLT1	turquoise	pink
MLLT10	turquoise	pink
MLLT3	grey	grey
MLLT6	turquoise	pink
MLNR	grey	grey
MLPH	grey	grey
MLX	blue	blue
MLXIP	turquoise	pink
MLXIPL	grey	grey
MLYCD	turquoise	pink
MMAA	turquoise	pink
MMAB	grey	grey
MMACHC	turquoise	pink
MMD	blue	blue
MME	grey	grey
MMGT1	pink	pink
MMP1	grey	grey
MMP10	grey	grey
MMP11	green	green
MMP12	blue	blue
MMP13	grey	grey
MMP14	green	green
MMP15	grey	grey
MMP16	green	green
MMP17	grey	grey
MMP19	red	red
MMP2	green	green
MMP21	brown	brown
MMP24	grey	grey
MMP25	magenta	magenta
MMP28	grey	grey
MMP3	green	green
MMP7	grey	grey
MMP8	grey	grey
MMRN1	red	red
MMRN2	red	red
MMS19	turquoise	pink
MN1	green	green
MND1	grey	grey
MNDA	yellow	magenta
MNT	turquoise	pink
MNX1	grey	grey
MOAP1	turquoise	pink
MOB1A	pink	pink
MOB1B	turquoise	pink
MOB2	brown	brown
MOB3A	grey	grey
MOB3B	grey	grey
MOB3C	grey	grey
MOB4	blue	blue
MOBP	black	black
MOCOS	grey	grey
MOCS1	red	red
MOCS2	grey	grey
MOCS3	grey	grey
MOGAT1	grey	grey
MOGAT2	grey	grey
MOGS	turquoise	pink
MOK	black	black
MON1A	turquoise	pink
MON1B	turquoise	pink
MON2	brown	brown
MORC2	turquoise	pink
MORC3	turquoise	pink
MORC4	grey	grey
MORF4L1	pink	pink
MORF4L2	blue	blue
MORN1	black	black
MORN2	black	black
MORN3	black	black
MORN4	grey	grey
MORN5	black	black
MOSPD1	grey	grey
MOSPD2	pink	pink
MOSPD3	grey	grey
MOV10	turquoise	pink
MOV10L1	grey	grey
MOXD1	green	green
MPC1	grey	grey
MPC2	grey	grey
MPDU1	grey	grey
MPDZ	turquoise	pink
MPEG1	yellow	magenta
MPHOSPH10	turquoise	pink
MPHOSPH6	grey	grey
MPHOSPH8	brown	brown
MPHOSPH9	turquoise	pink
MPI	turquoise	pink
MPL	grey	grey
MPLKIP	blue	blue
MPO	grey	grey
MPP1	yellow	magenta
MPP2	blue	blue
MPP3	brown	brown
MPP4	grey	grey
MPP5	turquoise	pink
MPP6	blue	blue
MPP7	grey	grey
MPPED1	grey	grey
MPPED2	grey	grey
MPRIP	turquoise	pink
MPST	grey	grey
MPV17	grey	grey
MPV17L	grey	grey
MPV17L2	grey	grey
MPZ	grey	grey
MPZL1	turquoise	pink
MPZL2	grey	grey
MPZL3	turquoise	pink
MR1	grey	grey
MRAP	grey	grey
MRAP2	grey	grey
MRAS	yellow	magenta
MRC1	yellow	magenta
MRC2	green	green
MREG	grey	grey
MRFAP1	turquoise	pink
MRFAP1L1	turquoise	pink
MRGBP	blue	blue
MRGPRE	grey	grey
MRM1	brown	brown
MRO	grey	grey
MROH1	brown	brown
MROH2A	grey	grey
MROH2B	grey	grey
MROH6	grey	grey
MROH8	grey	grey
MROH9	black	black
MRPL1	blue	blue
MRPL10	blue	blue
MRPL11	blue	blue
MRPL13	blue	blue
MRPL14	grey	grey
MRPL15	blue	blue
MRPL16	grey	grey
MRPL17	blue	blue
MRPL18	grey	grey
MRPL19	blue	blue
MRPL20	grey	grey
MRPL21	blue	blue
MRPL22	turquoise	pink
MRPL23	grey	grey
MRPL24	turquoise	pink
MRPL27	grey	grey
MRPL28	brown	brown
MRPL30	blue	blue
MRPL32	grey	grey
MRPL33	blue	blue
MRPL34	grey	grey
MRPL35	blue	blue
MRPL37	blue	blue
MRPL4	blue	blue
MRPL40	grey	grey
MRPL41	turquoise	pink
MRPL42	blue	blue
MRPL43	grey	grey
MRPL44	blue	blue
MRPL45	blue	blue
MRPL47	pink	pink
MRPL49	blue	blue
MRPL50	grey	grey
MRPL51	blue	blue
MRPL52	blue	blue
MRPL54	turquoise	pink
MRPL55	brown	brown
MRPL57	grey	grey
MRPL9	turquoise	pink
MRPS10	blue	blue
MRPS11	blue	blue
MRPS12	blue	blue
MRPS14	grey	grey
MRPS15	grey	grey
MRPS18B	grey	grey
MRPS22	pink	pink
MRPS23	blue	blue
MRPS25	brown	brown
MRPS26	grey	grey
MRPS27	turquoise	pink
MRPS30	blue	blue
MRPS33	blue	blue
MRPS34	brown	brown
MRPS35	blue	blue
MRPS5	blue	blue
MRPS7	blue	blue
MRRF	turquoise	pink
MRS2	blue	blue
MRTO4	blue	blue
MRVI1	green	green
MS4A1	magenta	magenta
MS4A14	yellow	magenta
MS4A15	grey	grey
MS4A2	red	red
MS4A3	grey	grey
MS4A4A	yellow	magenta
MS4A6A	yellow	magenta
MS4A7	yellow	magenta
MS4A8	black	black
MSANTD1	grey	grey
MSANTD2	brown	brown
MSANTD3	blue	blue
MSANTD4	turquoise	pink
MSC	green	green
MSH2	blue	blue
MSH3	turquoise	pink
MSH4	grey	grey
MSH6	blue	blue
MSI1	grey	grey
MSI2	turquoise	pink
MSL1	turquoise	pink
MSL2	pink	pink
MSL3	grey	grey
MSLN	grey	grey
MSMB	grey	grey
MSMO1	grey	grey
MSN	grey	grey
MSR1	yellow	magenta
MSRA	grey	grey
MSRB1	grey	grey
MSRB2	grey	grey
MSRB3	green	green
MSS51	brown	brown
MST1R	turquoise	pink
MSTN	grey	grey
MSX1	grey	grey
MT1F	grey	grey
MT3	grey	grey
MTA1	brown	brown
MTA2	turquoise	pink
MTA3	blue	blue
MTAP	turquoise	pink
MTBP	blue	blue
MTCH1	grey	grey
MTCH2	blue	blue
MTCL1	grey	grey
MTCP1	brown	brown
MTDH	turquoise	pink
MTERF1	blue	blue
MTERF2	brown	brown
MTERF3	blue	blue
MTERF4	turquoise	pink
MTF1	turquoise	pink
MTF2	blue	blue
MTFMT	turquoise	pink
MTFR1	blue	blue
MTFR1L	brown	brown
MTFR2	blue	blue
MTG2	turquoise	pink
MTHFD1	blue	blue
MTHFD1L	blue	blue
MTHFD2	blue	blue
MTHFD2L	grey	grey
MTHFR	brown	brown
MTHFSD	brown	brown
MTIF2	blue	blue
MTM1	turquoise	pink
MTMR1	turquoise	pink
MTMR10	turquoise	pink
MTMR11	grey	grey
MTMR12	turquoise	pink
MTMR14	grey	grey
MTMR2	pink	pink
MTMR3	turquoise	pink
MTMR4	turquoise	pink
MTMR6	grey	grey
MTMR7	grey	grey
MTMR8	grey	grey
MTMR9	turquoise	pink
MTNR1A	grey	grey
MTO1	turquoise	pink
MTOR	turquoise	pink
MTPAP	blue	blue
MTPN	pink	pink
MTR	turquoise	pink
MTRF1	brown	brown
MTRF1L	blue	blue
MTRR	grey	grey
MTSS1	grey	grey
MTTP	grey	grey
MTURN	blue	blue
MTUS1	turquoise	pink
MTUS2	grey	grey
MTX1	turquoise	pink
MTX2	blue	blue
MTX3	turquoise	pink
MUC1	blue	blue
MUC12	grey	grey
MUC13	grey	grey
MUC15	grey	grey
MUC16	grey	grey
MUC20	grey	grey
MUC3A	grey	grey
MUC4	grey	grey
MUC5AC	grey	grey
MUC5B	grey	grey
MUC6	grey	grey
MUCL1	grey	grey
MUL1	turquoise	pink
MUS81	brown	brown
MUSK	red	red
MVB12A	grey	grey
MVB12B	turquoise	pink
MVD	brown	brown
MVK	grey	grey
MVP	grey	grey
MX1	grey	grey
MX2	grey	grey
MXD1	grey	grey
MXD3	brown	brown
MXD4	brown	brown
MXI1	turquoise	pink
MXRA5	green	green
MXRA7	grey	grey
MXRA8	green	green
MYADM	green	green
MYADML2	grey	grey
MYB	grey	grey
MYBL1	blue	blue
MYBL2	blue	blue
MYBPC1	grey	grey
MYBPC2	grey	grey
MYBPC3	grey	grey
MYBPH	grey	grey
MYC	grey	grey
MYCBP	grey	grey
MYCBP2	turquoise	pink
MYCBPAP	black	black
MYCL	grey	grey
MYCN	grey	grey
MYCT1	red	red
MYD88	yellow	magenta
MYDGF	grey	grey
MYEF2	brown	brown
MYEOV	grey	grey
MYH1	grey	grey
MYH10	turquoise	pink
MYH11	green	green
MYH13	grey	grey
MYH14	turquoise	pink
MYH15	grey	grey
MYH2	grey	grey
MYH3	brown	brown
MYH4	grey	grey
MYH6	grey	grey
MYH7B	brown	brown
MYH8	grey	grey
MYH9	turquoise	pink
MYL12A	grey	grey
MYL12B	grey	grey
MYL2	grey	grey
MYL3	grey	grey
MYL4	grey	grey
MYL5	brown	brown
MYL6	grey	grey
MYL9	green	green
MYLIP	turquoise	pink
MYLK	green	green
MYLK2	blue	blue
MYLK3	grey	grey
MYLK4	grey	grey
MYLPF	grey	grey
MYNN	pink	pink
MYO10	turquoise	pink
MYO15A	brown	brown
MYO16	grey	grey
MYO18B	grey	grey
MYO19	blue	blue
MYO1A	grey	grey
MYO1B	turquoise	pink
MYO1C	turquoise	pink
MYO1D	turquoise	pink
MYO1E	turquoise	pink
MYO1F	yellow	magenta
MYO1G	yellow	magenta
MYO3A	grey	grey
MYO3B	grey	grey
MYO5A	yellow	magenta
MYO5B	turquoise	pink
MYO5C	turquoise	pink
MYO6	turquoise	pink
MYO7A	grey	grey
MYO7B	grey	grey
MYO9A	turquoise	pink
MYO9B	yellow	magenta
MYOC	red	red
MYOCD	red	red
MYOF	turquoise	pink
MYOM1	grey	grey
MYOM2	grey	grey
MYOM3	grey	grey
MYOZ1	grey	grey
MYOZ2	grey	grey
MYOZ3	grey	grey
MYPN	grey	grey
MYPOP	turquoise	pink
MYRF	grey	grey
MYRFL	grey	grey
MYRIP	grey	grey
MYSM1	brown	brown
MYT1	grey	grey
MYT1L	grey	grey
MYZAP	red	red
MZB1	magenta	magenta
MZF1	brown	brown
MZT1	blue	blue
N4BP1	turquoise	pink
N4BP2	turquoise	pink
N4BP2L1	yellow	magenta
N4BP2L2	brown	brown
N4BP3	grey	grey
N6AMT1	turquoise	pink
NAA15	blue	blue
NAA16	brown	brown
NAA20	blue	blue
NAA25	turquoise	pink
NAA30	turquoise	pink
NAA35	pink	pink
NAA38	grey	grey
NAA40	brown	brown
NAA50	pink	pink
NAA60	brown	brown
NAAA	yellow	magenta
NAALAD2	grey	grey
NAALADL1	yellow	magenta
NAALADL2	grey	grey
NAB1	pink	pink
NAB2	turquoise	pink
NABP1	grey	grey
NABP2	blue	blue
NACA	blue	blue
NACA2	grey	grey
NACAD	grey	grey
NACC1	turquoise	pink
NACC2	turquoise	pink
NADK	turquoise	pink
NADK2	blue	blue
NADSYN1	brown	brown
NAE1	blue	blue
NAF1	turquoise	pink
NAGA	yellow	magenta
NAGLU	grey	grey
NAGPA	brown	brown
NAGS	grey	grey
NAIF1	turquoise	pink
NAIP	yellow	magenta
NALCN	green	green
NAMPT	blue	blue
NANOG	grey	grey
NANOS1	grey	grey
NANOS3	grey	grey
NANP	blue	blue
NAP1L1	blue	blue
NAP1L2	grey	grey
NAP1L3	green	green
NAP1L4	turquoise	pink
NAP1L5	grey	grey
NAPB	brown	brown
NAPEPLD	turquoise	pink
NAPG	turquoise	pink
NARF	grey	grey
NARS2	blue	blue
NASP	blue	blue
NAT1	grey	grey
NAT10	turquoise	pink
NAT14	brown	brown
NAT16	grey	grey
NAT2	grey	grey
NAT8L	grey	grey
NAT9	brown	brown
NATD1	red	red
NAV1	grey	grey
NAV2	turquoise	pink
NAV3	green	green
NBAS	turquoise	pink
NBEA	turquoise	pink
NBEAL1	turquoise	pink
NBEAL2	brown	brown
NBL1	green	green
NBN	blue	blue
NBPF1	turquoise	pink
NBPF3	turquoise	pink
NBR1	turquoise	pink
NCALD	grey	grey
NCAM1	grey	grey
NCAM2	green	green
NCAN	grey	grey
NCAPD2	blue	blue
NCAPD3	blue	blue
NCAPG2	blue	blue
NCAPH	blue	blue
NCAPH2	brown	brown
NCBP1	pink	pink
NCBP2	pink	pink
NCCRP1	grey	grey
NCDN	turquoise	pink
NCEH1	grey	grey
NCF2	yellow	magenta
NCF4	yellow	magenta
NCK1	pink	pink
NCK2	turquoise	pink
NCKAP1	turquoise	pink
NCKAP1L	yellow	magenta
NCKAP5	grey	grey
NCKAP5L	turquoise	pink
NCKIPSD	turquoise	pink
NCL	turquoise	pink
NCLN	turquoise	pink
NCOA1	turquoise	pink
NCOA2	turquoise	pink
NCOA3	turquoise	pink
NCOA4	turquoise	pink
NCOA5	turquoise	pink
NCOA6	turquoise	pink
NCOA7	grey	grey
NCOR1	turquoise	pink
NCOR2	turquoise	pink
NCR1	magenta	magenta
NCR2	grey	grey
NCR3	magenta	magenta
NCS1	grey	grey
NCSTN	turquoise	pink
NDC1	blue	blue
NDC80	blue	blue
NDE1	turquoise	pink
NDEL1	turquoise	pink
NDFIP1	turquoise	pink
NDFIP2	blue	blue
NDN	grey	grey
NDNF	red	red
NDOR1	turquoise	pink
NDP	grey	grey
NDRG1	grey	grey
NDRG2	red	red
NDRG3	turquoise	pink
NDRG4	grey	grey
NDST1	turquoise	pink
NDST3	grey	grey
NDUFA1	turquoise	pink
NDUFA10	turquoise	pink
NDUFA11	brown	brown
NDUFA12	blue	blue
NDUFA3	grey	grey
NDUFA4L2	grey	grey
NDUFA5	grey	grey
NDUFA6	grey	grey
NDUFA7	brown	brown
NDUFA8	grey	grey
NDUFAB1	blue	blue
NDUFAF1	turquoise	pink
NDUFAF3	grey	grey
NDUFAF4	blue	blue
NDUFAF5	blue	blue
NDUFAF6	grey	grey
NDUFAF7	brown	brown
NDUFB10	brown	brown
NDUFB11	grey	grey
NDUFB2	blue	blue
NDUFB4	pink	pink
NDUFB5	pink	pink
NDUFB7	turquoise	pink
NDUFC1	grey	grey
NDUFS1	blue	blue
NDUFS2	turquoise	pink
NDUFS3	grey	grey
NDUFS4	turquoise	pink
NDUFS6	blue	blue
NDUFS8	grey	grey
NDUFV1	brown	brown
NDUFV3	grey	grey
NEB	grey	grey
NEBL	turquoise	pink
NECAB1	red	red
NECAB2	grey	grey
NECAB3	brown	brown
NECAP1	grey	grey
NECAP2	yellow	magenta
NEDD1	blue	blue
NEDD4	pink	pink
NEDD4L	turquoise	pink
NEDD8	blue	blue
NEDD9	red	red
NEFH	grey	grey
NEFL	grey	grey
NEFM	grey	grey
NEGR1	green	green
NEIL1	brown	brown
NEIL2	grey	grey
NEIL3	blue	blue
NEK1	turquoise	pink
NEK10	black	black
NEK11	black	black
NEK2	blue	blue
NEK3	grey	grey
NEK5	black	black
NEK6	turquoise	pink
NEK7	turquoise	pink
NEK9	turquoise	pink
NELFA	turquoise	pink
NELFB	turquoise	pink
NELFCD	turquoise	pink
NELFE	blue	blue
NELL1	grey	grey
NELL2	magenta	magenta
NEMF	turquoise	pink
NENF	grey	grey
NEO1	turquoise	pink
NES	green	green
NET1	turquoise	pink
NETO1	green	green
NETO2	blue	blue
NEU1	grey	grey
NEU3	brown	brown
NEU4	grey	grey
NEURL1	grey	grey
NEURL1B	grey	grey
NEURL3	grey	grey
NEURL4	turquoise	pink
NEUROD2	grey	grey
NEUROG3	grey	grey
NEXN	green	green
NF1	turquoise	pink
NF2	turquoise	pink
NFAM1	yellow	magenta
NFASC	red	red
NFAT5	turquoise	pink
NFATC1	grey	grey
NFATC2	yellow	magenta
NFATC2IP	turquoise	pink
NFATC3	turquoise	pink
NFATC4	brown	brown
NFE2	grey	grey
NFE2L1	turquoise	pink
NFE2L2	turquoise	pink
NFE2L3	grey	grey
NFIA	turquoise	pink
NFIB	turquoise	pink
NFIC	turquoise	pink
NFIL3	grey	grey
NFIX	red	red
NFKB1	turquoise	pink
NFKB2	grey	grey
NFKBIA	grey	grey
NFKBIB	grey	grey
NFKBID	brown	brown
NFKBIE	grey	grey
NFKBIL1	brown	brown
NFKBIZ	brown	brown
NFRKB	turquoise	pink
NFS1	turquoise	pink
NFX1	turquoise	pink
NFXL1	turquoise	pink
NFYA	turquoise	pink
NFYB	blue	blue
NFYC	turquoise	pink
NGDN	blue	blue
NGEF	grey	grey
NGF	grey	grey
NGFR	black	black
NGLY1	turquoise	pink
NHLH1	grey	grey
NHLH2	grey	grey
NHLRC2	turquoise	pink
NHLRC3	brown	brown
NHS	grey	grey
NHSL1	turquoise	pink
NHSL2	green	green
NID1	green	green
NIF3L1	blue	blue
NIFK	blue	blue
NIM1K	grey	grey
NIN	turquoise	pink
NINJ1	grey	grey
NINJ2	grey	grey
NINL	brown	brown
NIP7	blue	blue
NIPA1	turquoise	pink
NIPAL1	grey	grey
NIPAL2	grey	grey
NIPAL3	turquoise	pink
NIPAL4	grey	grey
NIPBL	turquoise	pink
NIPSNAP1	blue	blue
NIPSNAP3A	grey	grey
NIPSNAP3B	brown	brown
NISCH	turquoise	pink
NIT1	turquoise	pink
NKAIN1	blue	blue
NKAIN2	grey	grey
NKAIN3	grey	grey
NKAIN4	grey	grey
NKAP	pink	pink
NKAPL	grey	grey
NKD1	grey	grey
NKD2	green	green
NKG7	magenta	magenta
NKIRAS1	turquoise	pink
NKIRAS2	turquoise	pink
NKPD1	grey	grey
NKRF	blue	blue
NKTR	brown	brown
NKX1-2	grey	grey
NKX2-1	blue	blue
NKX2-3	grey	grey
NKX2-8	grey	grey
NKX3-1	grey	grey
NKX3-2	green	green
NKX6-1	grey	grey
NKX6-3	grey	grey
NLE1	turquoise	pink
NLGN1	grey	grey
NLGN2	grey	grey
NLGN3	grey	grey
NLGN4X	grey	grey
NLGN4Y	grey	grey
NLK	turquoise	pink
NLN	turquoise	pink
NLRC3	magenta	magenta
NLRC4	yellow	magenta
NLRC5	magenta	magenta
NLRP1	magenta	magenta
NLRP11	grey	grey
NLRP12	grey	grey
NLRP14	grey	grey
NLRP2	grey	grey
NLRP3	yellow	magenta
NLRP4	grey	grey
NLRP6	grey	grey
NLRP7	grey	grey
NLRP9	grey	grey
NLRX1	turquoise	pink
NMB	grey	grey
NMBR	black	black
NMD3	pink	pink
NME3	brown	brown
NME4	grey	grey
NME5	black	black
NME6	turquoise	pink
NME7	grey	grey
NME8	grey	grey
NME9	black	black
NMI	grey	grey
NMNAT1	turquoise	pink
NMNAT2	grey	grey
NMNAT3	grey	grey
NMRAL1	brown	brown
NMRK1	grey	grey
NMRK2	grey	grey
NMT1	turquoise	pink
NMT2	grey	grey
NMU	grey	grey
NMUR1	red	red
NMUR2	grey	grey
NNAT	grey	grey
NNMT	grey	grey
NNT	turquoise	pink
NOA1	blue	blue
NOC2L	turquoise	pink
NOC3L	blue	blue
NOC4L	turquoise	pink
NOD1	turquoise	pink
NOD2	yellow	magenta
NODAL	grey	grey
NOG	grey	grey
NOL10	blue	blue
NOL12	brown	brown
NOL3	brown	brown
NOL4	grey	grey
NOL4L	turquoise	pink
NOL6	turquoise	pink
NOL7	blue	blue
NOL8	pink	pink
NOL9	turquoise	pink
NOLC1	turquoise	pink
NOM1	blue	blue
NOMO3	turquoise	pink
NONO	turquoise	pink
NOP10	blue	blue
NOP16	grey	grey
NOP56	blue	blue
NOP9	turquoise	pink
NOS1	grey	grey
NOS1AP	turquoise	pink
NOSIP	grey	grey
NOSTRIN	blue	blue
NOTCH1	turquoise	pink
NOTCH2	turquoise	pink
NOTCH3	green	green
NOTCH4	red	red
NOTUM	grey	grey
NOVA1	grey	grey
NOVA2	red	red
NOX1	grey	grey
NOX4	green	green
NOX5	grey	grey
NOXA1	brown	brown
NOXRED1	black	black
NPAS1	grey	grey
NPAS2	grey	grey
NPAS3	grey	grey
NPAS4	grey	grey
NPAT	turquoise	pink
NPC1	turquoise	pink
NPC1L1	grey	grey
NPC2	grey	grey
NPEPL1	brown	brown
NPEPPS	turquoise	pink
NPFFR1	grey	grey
NPFFR2	grey	grey
NPHP1	black	black
NPHP3	brown	brown
NPHP4	turquoise	pink
NPHS1	grey	grey
NPIPB5	brown	brown
NPL	yellow	magenta
NPLOC4	turquoise	pink
NPM1	blue	blue
NPM2	grey	grey
NPM3	blue	blue
NPNT	red	red
NPPA	brown	brown
NPPC	grey	grey
NPR1	red	red
NPR2	green	green
NPR3	green	green
NPRL2	grey	grey
NPRL3	brown	brown
NPTN	turquoise	pink
NPTX1	grey	grey
NPTX2	grey	grey
NPTXR	grey	grey
NPW	grey	grey
NPY1R	grey	grey
NPY5R	grey	grey
NQO1	grey	grey
NQO2	grey	grey
NR0B1	grey	grey
NR0B2	grey	grey
NR1D1	grey	grey
NR1D2	turquoise	pink
NR1H2	brown	brown
NR1H3	yellow	magenta
NR1H4	grey	grey
NR1I2	grey	grey
NR1I3	grey	grey
NR2C1	brown	brown
NR2E1	grey	grey
NR2E3	grey	grey
NR2F1	red	red
NR2F2	turquoise	pink
NR2F6	grey	grey
NR3C1	turquoise	pink
NR3C2	blue	blue
NR4A1	grey	grey
NR4A2	grey	grey
NR4A3	grey	grey
NR5A1	grey	grey
NR5A2	red	red
NR6A1	brown	brown
NRAP	grey	grey
NRAS	blue	blue
NRBF2	blue	blue
NRBP1	turquoise	pink
NRCAM	grey	grey
NRDE2	turquoise	pink
NREP	grey	grey
NRF1	turquoise	pink
NRG1	grey	grey
NRG2	grey	grey
NRG3	grey	grey
NRG4	grey	grey
NRGN	grey	grey
NRIP1	pink	pink
NRIP2	brown	brown
NRIP3	grey	grey
NRK	grey	grey
NRL	grey	grey
NRM	blue	blue
NRN1	grey	grey
NRP1	grey	grey
NRP2	green	green
NRROS	yellow	magenta
NRSN2	turquoise	pink
NRTN	grey	grey
NRXN1	grey	grey
NRXN2	grey	grey
NRXN3	grey	grey
NSD1	turquoise	pink
NSDHL	blue	blue
NSF	turquoise	pink
NSFL1C	turquoise	pink
NSL1	blue	blue
NSMAF	turquoise	pink
NSMCE1	grey	grey
NSMCE2	blue	blue
NSMCE4A	brown	brown
NSMF	turquoise	pink
NSRP1	turquoise	pink
NSUN2	turquoise	pink
NSUN3	pink	pink
NSUN4	turquoise	pink
NSUN6	blue	blue
NSUN7	grey	grey
NT5C1A	grey	grey
NT5C1B	grey	grey
NT5C2	turquoise	pink
NT5C3B	blue	blue
NT5DC1	turquoise	pink
NT5DC3	turquoise	pink
NT5DC4	grey	grey
NT5E	grey	grey
NT5M	grey	grey
NTF3	grey	grey
NTHL1	brown	brown
NTM	green	green
NTMT1	grey	grey
NTN1	grey	grey
NTN3	grey	grey
NTN4	grey	grey
NTN5	brown	brown
NTNG1	grey	grey
NTNG2	grey	grey
